,m,month,year,ym,IS.M,IS.D,IS.3M,IL.3,IL.5,IL.10,SPR.C.G,SPR.10Y.M,SPR.10Y.D,SPR.10Y.3M,SPR.1D.M,EX,EXR,DAX,VOLA1,VOLA2,HWWA.E,HWWA.EX,HWWA,ZEW,GFK.EXP,ALQ,VAC,CAPA,FAZ,OIL,OECDL1,OECDL3,OECDL2,IFO.C,IFO.EXP,IFOM.C,IFOM.EXP,IFOMI.C,IFOMI.EXP,IFOMV.C,IFOMV.EXP,IFOWH.C,IFOWH.EXP,ESI.INDU,ESI.SERV,ESI.C,ESI.TRADE,ESI.CTR,ESI,ECBS2,ECBS3,ECBS4,ECBS5,ECBS6,ECBS7,ECCS99,ECCS1,ECCS2,ECCS3,ECCS4,ECCS5,ECCS6,ECCS7,ECCS8,ECCS9,ECCS10,ECCS11,ECCS12,rword,rword_sc,perc_dif.zeit.eco,perc_pnword.zeit.eco,perc_nword.zeit.eco,perc_pword.zeit.eco,npword.zeit.eco,nnword.zeit.eco,nword.zeit.eco,pvalue.zeit.eco,nvalue.zeit.eco,rpvalue.zeit.eco,rnvalue.zeit.eco,rvalue.zeit.eco,perc_dif.zeit,perc_pnword.zeit,perc_nword.zeit,perc_pword.zeit,npword.zeit,nnword.zeit,nword.zeit,pvalue.zeit,nvalue.zeit,rpvalue.zeit,rnvalue.zeit,rvalue.zeit,qdap_value,qdap_nword,sent_nneg,sent_npos,sent_negv,sent_posv,sent_nwords,sent_val,posextind,negextind,valuext,qdap_value_median,qdap_nword_median,sent_nneg_median,sent_npos_median,sent_negv_median,sent_posv_median,sent_nwords_median,sent_val_median,posextind_median,negextind_median,valuext_median,qdap_value_rel,sent_negv_rel,sent_posv_rel,sent_val_rel,posextind_rel,negextind_rel,valuext_rel,qdap_value_rel_50,sent_negv_rel_50,sent_posv_rel_50,sent_val_rel_50,posextind_rel_50,negextind_rel_50,valuext_rel_50,qdap_value_rel_sd,sent_negv_rel_sd,sent_posv_rel_sd,sent_val_rel_sd,posextind_rel_sd,negextind_rel_sd,valuext_rel_sd,qdap_value_total,sent_negv_total,sent_posv_total,sent_val_total,posextind_total,negextind_total,valuext_total,qdap_rel_val_total,qdap_value_rela_25,qdap_value_rela_mean,qdap_value_rela_50,qdap_value_rela_75,qdap_value_rela_sd,qdap_value_rel_sum,qdap_negator_rel_val_total,qdap_negator_value_rel_25,qdap_negator_value_rel_mean,qdap_negator_value_rel_50,qdap_negator_value_rel_75,qdap_negator_value_rel_sd,qdap_negator_value_rel_sum,Notrend,Rising,Falling,Volume,Badrising,Otherrising,MT_all,MT_monetary,MT_inflation,MT_all_climate,MT_monetary_climate,MT_inflation_climate,ALL_Genios_Deflation,ALL_Genios_der_CountryDeutschland,ALL_Genios_der,ALL_Genios_Inflation_CountryDeutschland,ALL_Genios_Inflation,ALL_Genios_inflationär,ALL_Genios_Inflationsangst,ALL_Genios_Inflationsbekämpfung,ALL_Genios_Inflationsdruck,ALL_Genios_Inflationsrate,ALL_Genios_Inflationsrisiko,ALL_Genios_Kaufkraft,ALL_Genios_Kaufkraftverlust,ALL_Genios_Preisanstieg,ALL_Genios_Preisniveau,ALL_Genios_Preisstabilität,ALL_Genios_Preissteigerung,ALL_Genios_Stagflation,ALL_Genios_steigendePreise,ALL_Genios_Teuerung,ALL_Genios_Teuerungsrate,ALL_Genios_Verteuerung,IWord,DWord,Preisanstieg,Steigende_Preise,Preissteigerung,Teuerung,Teuerungsrate,Verteuerung,Preisstabilitaet,Kaufkraft,Kaufkraftverlust,Inflationsrate,inflationaer,Inflationsrisiko,Preisniveau,Inflationsbekaempfung,Inflationsangst,Inflationsdruck,Stagflation,AllinflationWords,FirstPC_genios_indicators,FirstPChighly,qdap_negator_value_rel_infl_mean,qdap_value_rel_infl_mean,And_Or,Inflation_only,MT.de,MT.de.present,MT.de.future,MT.de.taxation,MT.de.cycle,MT.de.labor,MT.de.budget,MTI_All,MTI_Present,MTI_Future,MTI_Monetary,MTI_Inflation,MTI_Taxation,MTI_Cycle,MTI_Labor,MTI_Budget
553,1,1,1994,1994-01,6.15,5.75,5.89,5.07,5.5,5.8,1.23,-0.35,0.05,-0.09,-0.4,76.2479,101.3998,NA,NA,NA,21.9,54,24.3,37.2,NA,9.7,NA,68.2,854.59,12.5688,99.53278,99.591,81.04282,-20.5,-3,-18.51,4.02,-27.52,-1.92,-16.88,8.45,-28.76,-13.93,-22.1,NA,-24.6,-22,-23.5,86.3,-49.5,-50.9,17.4,0.5,-7.3,-39.1,-24.6,-21.3,-14.4,-60.2,-34.1,47.1,41.7,50.9,-17.3,-28.4,34.4,1.1,10.8,NA,NA,0.026086079,0.112168957,0.043041439,0.069127518,22.90555556,14.81527778,336.4777778,1.295490694,-4.267439722,0.059940244,-0.286932115,-0.07530682,0.020950576,0.110969572,0.045009498,0.065960074,22.92439614,14.95887681,332.9621981,1.35855151,-4.170569203,0.065720077,-0.274131483,-0.073183868,0.004618261,858.244186,18.45348837,30.58139535,-4.935262791,2.234096512,862.4651163,-2.701166279,1.762423256,-4.168997674,-2.406574419,0.004088521,862,17.5,24.5,-4.4879,1.79575,865.5,-2.026,1.28265,-4.26655,-2.03515,2.26E-05,-0.005862848,0.002824274,-0.003038573,0.0022843,-0.005156051,-0.002871751,-8.69E-06,-0.005509846,0.002403192,-0.002704503,0.002013375,-0.005311502,-0.003090023,0.000150413,0.002914064,0.001889807,0.003675698,0.001554194,0.002697517,0.003162471,6.74E-06,-0.006022675,0.002668182,-0.003354492,0.002163807,-0.005178796,-0.00301499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,762,78686,1,449,8,1,29,6,304,1,106,7,74,100,36,42,3,18,105,54,94,0.570622474,0.005083496,0.094044684,0.022875734,0.053376713,0.133441781,0.068627202,0.119462166,0.045751468,0.134712655,0.008896119,0.386345729,0.010166993,0.001270874,0.127087411,0.036855349,0.001270874,0.007625245,0.003812622,1.831329588,-5.071968169,4.015152784,NA,NA,5.28810716,1.16666243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,2,2,1994,1994-02,6.22,5.25,5.91,5.36,5.8,6.07,1.04,-0.15,0.82,0.16,-0.97,77.4944,101.6957,NA,NA,NA,21.5,54.8,24.3,44,NA,9.7,NA,63,835.89,12.2547,99.95716,99.9625,81.49583,-15.1,-1.3,-13.44,5.95,-21.92,-0.18,-11.03,11.68,-21.24,-13.88,-18.1,NA,-24.5,-15.2,-24.8,88.8,-44.1,-48.7,14.3,4.1,-4.5,-39.4,-24.5,-22.6,-15.1,-56.9,-31.3,44,37.4,50.2,-19.1,-28.7,32.7,-1.2,10,NA,NA,0.026142294,0.100989801,0.037423753,0.063566047,18.90547161,12.21473214,303.3581387,1.259829501,-3.441737841,0.070671224,-0.26884567,-0.062823638,0.017496216,0.098881858,0.040692821,0.058189037,19.61542443,14.66880895,342.8964084,1.290435739,-4.053231341,0.072850373,-0.267741918,-0.073017922,-0.00626135,922.6454545,18.97272727,29.77272727,-5.193928182,2.267102727,927.1,-2.926825455,1.747022727,-4.265802727,-2.51878,-0.002693436,908.5,16,27.5,-4.32,1.92275,913,-1.8803,1.57325,-3.7132,-1.91235,4.58E-06,-0.005465023,0.002577537,-0.002887486,0.002093346,-0.004702645,-0.002609299,8.45E-06,-0.004589412,0.00219602,-0.002382969,0.001815965,-0.004077273,-0.002396848,0.000186775,0.003224515,0.001645071,0.004090628,0.00146953,0.002613626,0.003376579,8.17E-06,-0.005488249,0.002634047,-0.002854202,0.002046944,-0.004556138,-0.002509194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,513,85091,2,392,9,3,34,13,262,0,122,6,46,88,28,38,0,9,109,44,80,0.460683269,0.00470085,0.054059771,0.010576912,0.044658072,0.128098154,0.051709346,0.094016994,0.032905948,0.143375915,0.007051275,0.307905654,0.010576912,0,0.103418693,0.039957222,0.003525637,0.015277761,0,1.512498384,-2.913083846,2.494973095,NA,NA,4.548072064,0.997755344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,3,3,1994,1994-03,5.99,5.25,5.84,5.75,6.21,6.34,0.75,0.35,1.09,0.5,-0.74,79.3403,103.3124,NA,NA,NA,20.6,54,24,61.7,NA,9.7,NA,63.9,776.33,11.874,100.3816,100.3341,81.94909,-12.2,2.5,-9.92,9.73,-16.22,7.29,-9.03,13.19,-17.92,-9.36,-17.2,NA,-18.9,-11,-22.1,92,-43,-45.1,14.7,5.9,-3.2,-39.6,-18.9,-18.9,-11,-50,-23.3,40.9,35.1,44.2,-17.9,-27.4,34,2.7,12.2,NA,NA,0.025868683,0.101572397,0.037851857,0.06372054,21.0447619,12.1825,329.9207143,1.508363738,-3.281248476,0.070719879,-0.253603613,-0.051452994,0.021136011,0.099590437,0.039227213,0.060363224,21.16968872,13.52452432,345.3754459,1.508978202,-3.70594549,0.071731565,-0.263699025,-0.060683431,-0.004332599,887.544,18,30.48,-4.7632184,2.3501872,892.224,-2.4130312,1.8212656,-4.035196,-2.2139304,-0.002741896,839,15,27,-3.945,1.9258,843,-1.5439,1.5602,-3.4667,-1.557,-7.22E-06,-0.00499029,0.002736949,-0.002253341,0.002217109,-0.004317738,-0.002100629,4.66E-06,-0.004544927,0.002511791,-0.001851246,0.001944242,-0.004129164,-0.001948073,0.000152671,0.002567446,0.001985452,0.003518493,0.001911683,0.002063749,0.003062279,-5.37E-06,-0.005290324,0.002781445,-0.002508879,0.002087097,-0.004374466,-0.00228737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,716,101590,1,444,10,14,26,16,330,1,142,9,67,104,49,36,0,13,130,78,84,0.437050891,0.000984349,0.065951373,0.012796535,0.035436559,0.127965351,0.076779211,0.082685304,0.048233094,0.139777537,0.00885914,0.324835122,0.009843489,0.000984349,0.102372281,0.02559307,0.013780884,0.015749582,0,1.529678118,-3.377507808,1.898182297,NA,NA,4.905994685,0.971552318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,4,4,1994,1994-04,5.66,5,5.59,5.79,6.36,6.48,0.91,0.82,1.48,0.89,-0.66,80.884,103.7455,NA,NA,NA,22.6,54.4,25.4,78.5,NA,9.8,NA,63.6,810.78,13.0261,100.7833,100.6857,82.38393,-8.4,8.4,-2.96,18.74,-7.01,20.11,-0.36,19.42,-15.92,-3.77,-14.5,NA,-15.7,-19.3,-20.6,94,-39.7,-43.8,12.2,8.4,0.2,-29.1,-15.7,-18,-10.8,-45.7,-19.2,35.9,33.9,36,-15.8,-25.4,35.9,3.1,13.1,NA,NA,0.023407029,0.097467382,0.037030176,0.060437206,18.91264881,10.85729167,305.7834821,1.294820685,-2.960260283,0.071430065,-0.249972263,-0.051430144,0.017555251,0.099418629,0.040931689,0.05848694,20.72586207,14.33132184,342.5577586,1.463712184,-3.863423707,0.07600857,-0.251888175,-0.061522199,-0.006831519,928.0921053,20.38815789,30.71710526,-5.435224342,2.393138816,932.5526316,-3.042085526,1.904560526,-4.496510526,-2.59195,-0.003975757,801,18,25,-4.7915,1.79785,804.5,-2.44095,1.488,-4.07305,-2.1698,-3.37E-05,-0.005420336,0.00233103,-0.003089306,0.001913123,-0.004744224,-0.002831102,-1.19E-05,-0.005102349,0.002193831,-0.002799565,0.001649591,-0.004462888,-0.002500455,0.000129395,0.002655225,0.00138262,0.002711617,0.001311229,0.002285279,0.002451643,-1.81E-05,-0.005657435,0.002438673,-0.003218762,0.001953474,-0.004757437,-0.002803962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,735,82379,3,399,9,3,27,12,258,1,105,7,49,97,29,43,0,15,91,53,67,0.484346739,0.002427803,0.059481178,0.018208524,0.052197769,0.110465046,0.064336785,0.081331407,0.035203146,0.127459668,0.008497311,0.313186613,0.010925114,0.001213902,0.117748455,0.032775343,0.003641705,0.014566819,0,1.538013329,-3.216900349,2.607247781,NA,NA,4.901734665,1.020891247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,5,5,1994,1994-05,5.36,4.5,5.2,5.88,6.56,6.66,1.02,1.3,2.16,1.46,-0.86,82.8163,105.0761,NA,NA,NA,23.9,56.1,27.2,86.4,NA,9.8,NA,64,858.72,13.8681,101.1453,101.0026,82.78661,-7.2,8.2,-2.31,18.13,-6.76,21.63,1.65,21.4,-15.11,-6.69,-12.1,NA,-10.9,-14.2,-18.8,97.2,-34.8,-42.1,10.7,9.2,5.8,-28.9,-10.9,-16,-8.7,-35.8,-11.7,35,34.2,27.7,-13.8,-24.3,33.8,4.7,13.3,NA,NA,0.018174641,0.098453427,0.040139393,0.058314034,21.99697087,15.51380172,359.9254327,1.532779468,-4.439837043,0.072863927,-0.258744134,-0.063851464,0.016175117,0.105587263,0.044706073,0.06088119,23.52892483,17.93371408,377.190565,1.618848549,-5.023838546,0.070018017,-0.265580488,-0.072725823,0.003326371,948.4460432,21.10071942,32.47482014,-5.8222,2.481819424,952.8057554,-3.340380576,1.927104317,-4.760753237,-2.833648921,0.003873338,904,19,29,-4.6591,2.1054,907,-2.4455,1.6219,-4.2431,-2.3743,-2.74E-05,-0.005586369,0.002384923,-0.003201446,0.001857151,-0.004770607,-0.002913457,7.90E-06,-0.005056784,0.002125834,-0.002820883,0.001701654,-0.004737815,-0.002775633,0.000219556,0.003339548,0.001470948,0.003526413,0.001213081,0.002748208,0.002968859,3.52E-06,-0.005907029,0.002615041,-0.003291988,0.001964234,-0.004827824,-0.002863591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,647,78397,1,320,6,7,21,11,251,3,97,3,47,102,33,31,3,20,77,51,66,0.408178884,0.001275559,0.059951274,0.02551118,0.039542329,0.098218044,0.06505351,0.084186895,0.042093447,0.123729224,0.003826677,0.320165312,0.007653354,0.003826677,0.130107019,0.026786739,0.008928913,0.014031149,0.003826677,1.466892866,-2.818863292,1.938796928,NA,NA,5.18642295,0.968149291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,6,6,1994,1994-06,5.14,4.5,5.07,6.36,7,7.05,0.64,1.91,2.55,1.98,-0.64,83.4705,105.2333,NA,NA,NA,24.5,57.7,28.6,83.4,NA,9.7,NA,64,802.36,14.2137,101.4632,101.2809,83.15341,-3.7,10.5,1.57,19.83,-3.14,21.79,4.95,23.09,-8.09,1.2,-9.9,NA,-6.6,-14.1,-19.5,100.2,-32.8,-38.6,8.6,11.8,7.9,-29.1,-6.6,-12.7,-5.2,-25.8,-5.5,32.2,32.9,21.5,-12,-25.6,39.4,5.7,13.4,NA,NA,0.02259083,0.09880283,0.038106,0.06069683,21.16709382,12.17377574,334.9461098,1.205841902,-3.53978262,0.061466555,-0.286949447,-0.070524764,0.020255702,0.10063827,0.040191284,0.060446986,22.79993053,15.27895907,360.409449,1.47715124,-4.383907763,0.067512978,-0.28081591,-0.071417341,-0.00802242,964.3162393,21.05128205,33.86324786,-5.921935897,2.373955556,968.7521368,-3.547980342,1.799921368,-4.538762393,-2.738841026,-0.00657853,762,17,30,-4.3785,1.7282,766,-2.4758,1.3391,-3.7826,-2.1552,-1.78E-05,-0.006098014,0.002505216,-0.003592799,0.001972976,-0.005201889,-0.003228913,-1.43E-05,-0.005627682,0.002358044,-0.003264811,0.001767012,-0.005080195,-0.003167892,0.000152615,0.003380878,0.001292475,0.003521887,0.001158681,0.002675534,0.002731253,-1.48E-05,-0.005764071,0.002387558,-0.003376513,0.001835823,-0.004738383,-0.002902561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,708,84759,1,364,10,21,24,16,249,1,99,3,62,143,49,13,1,19,105,40,75,0.429452919,0.001179816,0.073148574,0.022416499,0.015337604,0.12388065,0.047192629,0.088486178,0.05781097,0.116801756,0.003539447,0.293774112,0.011798157,0.001179816,0.168713647,0.028315577,0.02477613,0.018877051,0.001179816,1.527861348,-3.489425029,1.269067257,NA,NA,5.090904801,1.061834142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,7,7,1994,1994-07,5.04,4.5,4.97,6.2,6.86,6.9,0.9,1.86,2.4,1.93,-0.54,86.1542,107.623,NA,NA,NA,24.9,58.8,30,80.6,NA,9.7,NA,63.4,776.37,14.4743,101.7377,101.5211,83.48474,-4.9,9.2,3.37,19.17,1.61,21.73,6.77,22.39,-13.4,-4.74,-8.3,NA,-5.6,-20.3,-18.9,101.3,-29.6,-36.4,6.6,11.3,10.1,-26.4,-5.6,-10.2,-4.1,-19.1,-5,27.1,32.4,18.7,-11.9,-22.8,39.2,5.5,13.5,NA,NA,0.017424449,0.093659452,0.038117501,0.05554195,16.259375,10.715625,281.53125,1.109795938,-3.233197188,0.072515663,-0.298940804,-0.07645741,0.016366211,0.097395829,0.040514809,0.05688102,20.98444444,15.26388889,349.4991667,1.427723583,-4.218482778,0.073976887,-0.286352512,-0.07397021,-0.006972855,864.038835,19.00970874,28.54368932,-5.119103883,2.123713592,868.7087379,-2.995390291,1.717887379,-4.197307767,-2.479420388,-0.004281707,716,15,24,-3.4891,1.5583,735,-1.8164,1.2434,-3.2627,-1.6612,-3.77E-05,-0.005613243,0.00243095,-0.003182293,0.002023076,-0.004977688,-0.002954613,-1.13E-05,-0.005778279,0.002251754,-0.00321291,0.001704037,-0.004450788,-0.00265812,0.00020688,0.003042463,0.001451597,0.003428219,0.00138623,0.002811525,0.003216589,-1.99E-05,-0.005898795,0.00243329,-0.003465506,0.001944766,-0.004996699,-0.003051933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,570,83505,4,422,14,8,26,8,259,2,116,2,69,118,48,51,0,14,102,56,65,0.505358961,0.007185198,0.082629783,0.016765463,0.061074187,0.122148374,0.067061853,0.07783965,0.057481588,0.138913837,0.002395066,0.310161068,0.016765463,0.002395066,0.141308904,0.03113586,0.009580265,0.009580265,0,1.659780851,-4.093913561,3.354761747,NA,NA,5.242799832,1.09574277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,8,8,1994,1994-08,4.93,4.5,5,6.44,7.08,7.09,0.76,2.16,2.59,2.09,-0.43,86.4382,107.4271,NA,NA,NA,24.2,58.2,29.2,87.9,NA,9.6,NA,63.5,824.24,13.9764,101.983,101.7359,83.79229,-3.3,7.2,4.45,16.8,3.49,18.42,7.99,22.32,-10.94,-5.71,-6.7,NA,-6.5,-15.6,-19.3,102.2,-25,-35.1,6.8,11.8,12.5,-26.4,-6.5,-8.4,-3.4,-17.6,-5.7,25.6,31.8,23.3,-12.1,-22.8,40.3,6.4,14.5,NA,NA,0.02422687,0.092542562,0.034157846,0.058384716,16.5907634,9.333479021,261.1685606,1.181581629,-2.731032066,0.082673674,-0.251377393,-0.047723786,0.015101242,0.096445856,0.040672307,0.055773549,17.14095118,13.18846801,303.1056397,1.293759007,-3.522491006,0.082341678,-0.256331985,-0.061759882,-0.005793766,809.1340206,17.70103093,24.1443299,-4.68856701,2.110061856,813.5051546,-2.578505155,1.663184536,-3.841264948,-2.178080412,-0.003156538,818,14,21,-3.5184,1.6997,823,-1.8395,1.4404,-3.0885,-1.5685,-1.09E-05,-0.005321586,0.002579921,-0.002741665,0.002084015,-0.004744185,-0.002660169,5.26E-06,-0.005539822,0.002136975,-0.002765617,0.001824941,-0.005001572,-0.002999145,0.000238313,0.002718939,0.001847358,0.003502192,0.001457829,0.002548373,0.003159604,4.75E-06,-0.005491888,0.002735039,-0.002756849,0.002225783,-0.0046664,-0.002440616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,347,82582,0,396,8,0,25,20,258,0,114,8,66,104,34,40,1,19,92,64,83,0.479523383,0.003632753,0.079920564,0.023007435,0.048436705,0.111404422,0.077498729,0.100506164,0.0411712,0.13804461,0.009687341,0.312416749,0.009687341,0,0.125935434,0.030272941,0,0.024218353,0.001210918,1.616575041,-4.271044652,2.811804796,NA,NA,5.216633165,1.028069071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,9,9,1994,1994-09,4.81,4.5,5.07,6.85,7.46,7.52,0.55,2.71,3.02,2.45,-0.31,86.8331,107.3443,NA,NA,NA,22.8,60.9,29.1,79.7,NA,9.5,NA,63.1,831.66,13.1558,102.2017,101.9273,84.07806,0.9,11.9,9.36,20.31,9.08,22.98,15.6,27.06,-8.01,1.62,-3,NA,-4.7,-15.2,-20.6,104.8,-20.8,-31.5,4.5,16.3,14.5,-26.4,-4.7,-9,-4.2,-11.5,-2.4,25.2,34.1,19.1,-13.2,-24.1,41.7,6.9,14.2,NA,NA,0.025634679,0.091527106,0.032946213,0.058580892,19.34332117,10.77080504,317.7158356,1.485447245,-2.816610274,0.089229369,-0.255505237,-0.040813886,0.018569762,0.095490132,0.038460185,0.057029947,20.82937322,13.96708167,345.7675352,1.524758366,-3.666132156,0.079186849,-0.258280822,-0.058046049,-0.002201239,959.1988304,19.66666667,32.56725146,-5.20277076,2.505829825,963.5789474,-2.696940936,1.959395906,-4.424246784,-2.464850877,-0.005141621,927,16,30,-4.0902,2.1065,930,-2.1711,1.6231,-3.4809,-2.138,-1.28E-05,-0.004954094,0.002738376,-0.002215718,0.002272282,-0.004454427,-0.002182145,-8.36E-06,-0.004873913,0.002713124,-0.002359195,0.002034848,-0.004365608,-0.002595825,0.000138721,0.002461501,0.001406176,0.002955087,0.001336394,0.002198911,0.002670287,-2.16E-06,-0.005020083,0.00266386,-0.002356223,0.002107681,-0.004411931,-0.00230425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,581,84996,1,380,9,15,31,21,269,4,153,9,64,110,36,45,1,19,123,72,92,0.447079863,0.003529578,0.075297661,0.022353993,0.052943668,0.144712692,0.084709869,0.108240388,0.042354934,0.180008471,0.010588734,0.316485482,0.010588734,0.004706104,0.129417855,0.036472305,0.017647889,0.024707045,0.001176526,1.713021789,-5.727703289,3.165132603,NA,NA,5.544966822,1.101228293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,10,10,1994,1994-10,4.93,4.5,5.22,6.97,7.5,7.54,0.63,2.61,3.04,2.32,-0.43,88.2459,108.2836,NA,NA,NA,22.7,60.2,29.5,74.6,NA,9.4,NA,63.4,764.22,13.0991,102.3598,102.0657,84.31407,3.5,14.4,14.1,25.04,16.16,32.31,18.57,29.22,-8.47,0.17,0.1,NA,0.2,-16.8,-20.6,108.9,-18,-27.7,1.8,20.1,17.5,-18.3,0.2,-5.6,-1,-6.9,3.1,23.5,31.5,12.6,-8.9,-22.8,43.5,11.5,15.4,NA,NA,0.024522786,0.102588878,0.039033046,0.063555832,25.38903743,14.56832254,397.3255348,1.617257508,-4.201902269,0.066992242,-0.293049387,-0.072026238,0.016935092,0.101157525,0.042111217,0.059046308,23.81336243,16.36169838,394.4465605,1.584264757,-4.572481247,0.066430127,-0.276586957,-0.077796305,-0.003006796,1064.353333,22.68,34.76666667,-6.17935,2.701429333,1068.826667,-3.477920667,2.191508667,-4.918159333,-2.726650667,0.001634314,1011.5,18,34.5,-4.9465,2.31005,1015,-2.73845,1.89515,-4.14835,-2.4398,-1.16E-05,-0.00588824,0.002728058,-0.003160183,0.002235936,-0.004831289,-0.002595353,-2.24E-06,-0.005290992,0.00240297,-0.003021098,0.001969924,-0.004361608,-0.002290994,8.51E-05,0.002961556,0.001349067,0.003132184,0.001190392,0.002536152,0.002541401,-6.38E-06,-0.005421787,0.002640235,-0.002781552,0.002098703,-0.004279375,-0.002180672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,535,80325,1,452,13,11,30,28,341,1,175,7,75,107,50,29,1,20,129,79,91,0.562713974,0.006224712,0.093370682,0.024898848,0.03610333,0.160597572,0.098350451,0.11328976,0.062247121,0.217864924,0.008714597,0.424525366,0.016184251,0.001244942,0.133208839,0.037348273,0.013694367,0.034858388,0.001244942,2.046685341,-7.446993708,3.61450957,NA,NA,5.70681606,1.330843448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,11,11,1994,1994-11,5.03,4.5,5.21,6.92,7.44,7.49,0.58,2.46,2.99,2.28,-0.53,87.5581,106.5835,NA,NA,NA,23.7,62.6,30.4,74.5,NA,9.3,NA,64.1,773.79,13.7831,102.4202,102.1186,84.46965,4,15.1,17.8,28.16,20.94,35.24,22.15,30.65,-14.94,-3.09,1,NA,-1.2,-18.9,-21.9,107.9,-12.7,-23.7,2.8,18.7,20.9,-18.3,-1.2,-7.2,-2.6,-5.6,4,24,31.8,14.6,-12.8,-23.5,42.1,8.6,16.1,NA,NA,0.019712632,0.096921178,0.038604273,0.058316905,24.115625,16.23020833,410.3083333,1.712485521,-4.765865417,0.076679437,-0.292035107,-0.068983545,0.016047578,0.098091058,0.04102174,0.057069318,24.69831395,18.62364826,424.8410828,1.670316852,-5.423649992,0.070526027,-0.285813463,-0.075742759,-0.003792514,1053.675926,21.55555556,35.33333333,-6.038326852,2.811113889,1058.240741,-3.227212963,2.223793519,-4.803560185,-2.579766667,-0.00562139,950.5,16,31.5,-4.90825,2.31245,953.5,-1.89245,1.8504,-4.1167,-1.77165,-5.03E-06,-0.005455536,0.002890508,-0.002565028,0.002374437,-0.004536568,-0.002162131,-1.19E-05,-0.004916868,0.002680474,-0.00246898,0.002245427,-0.004231011,-0.002016379,7.53E-05,0.002868947,0.00138838,0.003235049,0.001234101,0.002159466,0.002570931,-7.37E-06,-0.005531736,0.002836461,-0.002695276,0.002258397,-0.004389185,-0.002130789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,501,79077,1,425,14,5,32,25,213,1,133,7,64,95,52,32,1,18,102,74,89,0.537450839,0.005058361,0.080933773,0.022762624,0.040466887,0.128988201,0.093579676,0.112548529,0.065758691,0.168190498,0.008852131,0.269357715,0.017704263,0.00126459,0.12013607,0.040466887,0.006322951,0.031614755,0.00126459,1.75272203,-5.878613888,2.740696143,NA,NA,5.533846757,1.097664302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
