,m,month,year,ym,IS-M,IS-D,IS-3M,IL-3,IL-5,IL-10,SPR-C-G,SPR-10Y-M,SPR-10Y-D,SPR-10Y-3M,SPR-1D-M,EX,EXR,HWWA-E,HWWA-EX
448,4,4,1985,1985-04,5.7,4.5,6.02,7.05,7.34,NA,0.25,NA,NA,NA,-1.2,NA,NA,63.3,81.3
449,5,5,1985,1985-05,5.67,4.5,5.84,6.83,7.19,NA,0.37,NA,NA,NA,-1.17,NA,NA,61.5,80.2
450,6,6,1985,1985-06,5.52,4.5,5.68,6.62,7.02,NA,0.48,NA,NA,NA,-1.02,NA,NA,60,76.9
451,7,7,1985,1985-07,5.13,4.5,5.34,6.35,6.8,NA,0.75,NA,NA,NA,-0.63,NA,NA,57.5,72
452,8,8,1985,1985-08,4.77,4,4.79,6.05,6.53,NA,0.85,NA,NA,NA,-0.77,NA,NA,57,68.5
453,9,9,1985,1985-09,4.59,4,4.69,5.97,6.38,NA,0.83,NA,NA,NA,-0.59,NA,NA,58.3,68.4
454,10,10,1985,1985-10,4.54,4,4.81,6.17,6.55,NA,0.73,NA,NA,NA,-0.54,NA,NA,56.6,64.9
455,11,11,1985,1985-11,4.61,4,4.84,6.28,6.69,NA,0.72,NA,NA,NA,-0.61,NA,NA,58,64.7
456,12,12,1985,1985-12,4.64,4,4.83,6.13,6.59,NA,0.77,NA,NA,NA,-0.64,NA,NA,50.2,71.1
457,1,1,1986,1986-01,4.58,4,4.67,5.99,6.49,NA,0.81,NA,NA,NA,-0.58,NA,NA,40.1,68.1
458,2,2,1986,1986-02,4.59,4,4.49,5.79,6.33,NA,1.01,NA,NA,NA,-0.59,NA,NA,31.6,64.9
459,3,3,1986,1986-03,4.9,3.5,4.54,5.5,5.98,NA,1.2,NA,NA,NA,-1.4,NA,NA,26.3,66.6
460,4,4,1986,1986-04,4.76,3.5,4.49,5.27,5.7,NA,1.33,NA,NA,NA,-1.26,NA,NA,22.8,63.6
461,5,5,1986,1986-05,4.3,3.5,4.6,5.47,5.85,NA,0.93,NA,NA,NA,-0.8,NA,NA,25.2,61.5
462,6,6,1986,1986-06,4.39,3.5,4.6,5.62,6.03,NA,0.88,NA,NA,NA,-0.89,NA,NA,21.8,59.8
463,7,7,1986,1986-07,4.61,3.5,4.63,5.49,5.96,NA,1.11,NA,NA,NA,-1.11,NA,NA,17.6,57.2
464,8,8,1986,1986-08,4.49,3.5,4.57,5.31,5.79,NA,1.09,NA,NA,NA,-0.99,NA,NA,23.7,55.5
465,9,9,1986,1986-09,4.39,3.5,4.5,5.38,5.78,NA,0.92,NA,NA,NA,-0.89,NA,NA,23.9,57.5
466,10,10,1986,1986-10,4.41,3.5,4.59,5.56,6,NA,0.84,NA,NA,NA,-0.91,NA,NA,23.3,55.5
467,11,11,1986,1986-11,4.45,3.5,4.69,5.64,6.12,NA,0.96,NA,NA,NA,-0.95,NA,NA,24.6,54.9
468,12,12,1986,1986-12,5,3.5,4.81,5.51,6,NA,0.99,NA,NA,NA,-1.5,NA,NA,26.3,52.9
469,1,1,1987,1987-01,4.24,3,4.49,5.38,5.89,NA,1.12,NA,NA,NA,-1.24,NA,NA,27.9,49.8
470,2,2,1987,1987-02,3.83,3,3.97,5.15,5.77,NA,1.25,NA,NA,NA,-0.83,NA,NA,25.9,49.9
471,3,3,1987,1987-03,3.84,3,3.99,5.03,5.7,NA,1.57,NA,NA,NA,-0.84,NA,NA,27,49.7
472,4,4,1987,1987-04,3.75,3,3.89,4.91,5.53,NA,1.59,NA,NA,NA,-0.75,NA,NA,26.3,50.5
473,5,5,1987,1987-05,3.69,3,3.76,4.79,5.41,NA,1.61,NA,NA,NA,-0.69,NA,NA,26.7,52.3
474,6,6,1987,1987-06,3.61,3,3.7,4.91,5.66,NA,1.59,NA,NA,NA,-0.61,NA,NA,27.5,53.5
475,7,7,1987,1987-07,3.73,3,3.83,5.1,5.93,NA,1.5,NA,NA,NA,-0.73,NA,NA,29.6,54.5
476,8,8,1987,1987-08,3.78,3,3.95,5.34,6.13,NA,1.36,NA,NA,NA,-0.78,NA,NA,28.5,55.3
477,9,9,1987,1987-09,3.71,3,3.99,5.53,6.28,NA,1.27,NA,NA,NA,-0.71,NA,NA,27,55.1
478,10,10,1987,1987-10,3.74,3,4.7,5.8,6.51,NA,1.2,NA,NA,NA,-0.74,NA,NA,27.4,57.8
479,11,11,1987,1987-11,3.55,3,3.94,5.42,6.1,NA,1.38,NA,NA,NA,-0.55,NA,NA,24.6,55.5
480,12,12,1987,1987-12,3.19,2.5,3.65,5.19,6.03,NA,1.51,NA,NA,NA,-0.69,NA,NA,23.8,56.5
481,1,1,1988,1988-01,3.13,2.5,3.4,5.16,6.07,NA,1.54,NA,NA,NA,-0.63,NA,NA,23.1,58.4
482,2,2,1988,1988-02,3.32,2.5,3.32,4.95,5.85,NA,1.75,NA,NA,NA,-0.82,NA,NA,22.1,59.5
483,3,3,1988,1988-03,3.24,2.5,3.39,4.9,5.75,NA,1.7,NA,NA,NA,-0.74,NA,NA,21,61.8
484,4,4,1988,1988-04,3.25,2.5,3.39,4.98,5.82,NA,1.62,NA,NA,NA,-0.75,NA,NA,23,63.3
485,5,5,1988,1988-05,3.3,2.5,3.54,5.34,6.14,NA,1.46,NA,NA,NA,-0.8,NA,NA,23,68
486,6,6,1988,1988-06,3.74,2.5,3.89,5.4,6.15,NA,1.4,NA,NA,NA,-1.24,NA,NA,22.6,79.9
487,7,7,1988,1988-07,4.44,3,4.9,5.83,6.41,NA,0.97,NA,NA,NA,-1.44,NA,NA,23.6,75.8
488,8,8,1988,1988-08,4.74,3.5,5.32,6.13,6.55,NA,0.87,NA,NA,NA,-1.24,NA,NA,23.4,75.8
489,9,9,1988,1988-09,4.7,3.5,4.96,5.93,6.33,NA,0.97,NA,NA,NA,-1.2,NA,NA,21.1,73.7
490,10,10,1988,1988-10,4.74,3.5,5.05,5.71,6.16,NA,0.99,NA,NA,NA,-1.24,NA,NA,19.6,71.9
491,11,11,1988,1988-11,4.62,3.5,4.91,5.61,6.1,NA,0.99,NA,NA,NA,-1.12,NA,NA,19.8,71.2
492,12,12,1988,1988-12,4.89,3.5,5.33,5.92,6.33,NA,0.88,NA,NA,NA,-1.39,NA,NA,22.8,72.9
493,1,1,1989,1989-01,5.23,4,5.65,6.24,6.51,NA,0.56,NA,NA,NA,-1.23,NA,NA,25.9,75.8
494,2,2,1989,1989-02,5.94,4,6.39,6.79,6.87,NA,0.11,NA,NA,NA,-1.94,NA,NA,25.8,73.4
495,3,3,1989,1989-03,5.61,4,6.62,6.9,6.95,NA,0.2,NA,NA,NA,-1.61,NA,NA,28.7,73.7
496,4,4,1989,1989-04,5.85,4.5,6.43,6.85,6.92,NA,0.25,NA,NA,NA,-1.35,NA,NA,30.4,72.4
497,5,5,1989,1989-05,6.32,4.5,6.98,7.04,7.08,NA,0.16,NA,NA,NA,-1.82,NA,NA,29.5,74.6
498,6,6,1989,1989-06,6.47,5,6.96,6.92,6.95,NA,0.38,NA,NA,NA,-1.47,NA,NA,29,72.1
499,7,7,1989,1989-07,6.91,5,7.04,6.79,6.83,NA,0.31,NA,NA,NA,-1.91,NA,NA,28.1,67.5
500,8,8,1989,1989-08,6.76,5,7.02,6.8,6.84,NA,0.1,NA,NA,NA,-1.76,NA,NA,27.6,67.5
501,9,9,1989,1989-09,6.91,5,7.36,7.11,7.07,NA,-0.11,NA,NA,NA,-1.91,NA,NA,29,67.3
502,10,10,1989,1989-10,7.86,6,8.08,7.37,7.28,NA,0.23,NA,NA,NA,-1.86,NA,NA,29.6,64.5
503,11,11,1989,1989-11,7.54,6,8.23,7.7,7.63,NA,0.1,NA,NA,NA,-1.54,NA,NA,28.8,62.2
504,12,12,1989,1989-12,7.67,6,8.05,7.71,7.64,NA,0.19,NA,NA,NA,-1.67,NA,NA,28.7,58.5
505,1,1,1990,1990-01,7.58,6,8.25,7.99,7.98,7.63,-0.09,0.05,1.63,-0.62,-1.58,NA,NA,28.8,55.4
506,2,2,1990,1990-02,7.77,6,8.26,8.68,8.75,8.43,-0.18,0.66,2.43,0.17,-1.77,NA,NA,27.6,54
507,3,3,1990,1990-03,7.72,6,8.43,8.97,8.98,8.67,0.23,0.95,2.67,0.24,-1.72,NA,NA,26.9,57.3
508,4,4,1990,1990-04,7.79,6,8.22,8.87,8.93,8.7,0.23,0.91,2.7,0.48,-1.79,NA,NA,24.8,57.2
509,5,5,1990,1990-05,7.72,6,8.29,8.95,8.97,8.74,0.25,1.02,2.74,0.45,-1.72,NA,NA,24.4,57.2
510,6,6,1990,1990-06,7.83,6,8.27,8.95,9,8.82,0.15,0.99,2.82,0.55,-1.83,NA,NA,23.1,56.5
511,7,7,1990,1990-07,8.02,6,8.26,8.73,8.76,8.58,0.27,0.56,2.58,0.32,-2.02,NA,NA,24.6,54.6
512,8,8,1990,1990-08,8.03,6,8.45,8.94,9.01,8.9,0.16,0.87,2.9,0.45,-2.03,NA,NA,33.3,54.2
513,9,9,1990,1990-09,8.03,6,8.47,9.07,9.17,9.09,0.13,1.06,3.09,0.62,-2.03,NA,NA,41.6,56
514,10,10,1990,1990-10,8.04,6,8.6,9.09,9.15,9.09,0.21,1.05,3.09,0.49,-2.04,NA,NA,42.7,52.5
515,11,11,1990,1990-11,8.12,6,8.88,9.05,9.07,8.95,0.25,0.83,2.95,0.07,-2.12,NA,NA,38.4,48.3
516,12,12,1990,1990-12,8.43,6,9.21,9.02,8.98,8.85,0.18,0.42,2.85,-0.36,-2.43,NA,NA,33.3,47.6
517,1,1,1991,1991-01,8.53,6,9.35,9.15,9.08,8.94,0.15,0.41,2.94,-0.41,-2.53,NA,NA,29.1,47.3
518,2,2,1991,1991-02,8.69,6.5,9.08,8.7,8.58,8.42,0.4,-0.27,1.92,-0.66,-2.19,NA,NA,23.3,46.5
519,3,3,1991,1991-03,8.76,6.5,9.09,8.6,8.53,8.41,0.1,-0.35,1.91,-0.68,-2.26,NA,NA,25.2,49.8
520,4,4,1991,1991-04,8.85,6.5,9.18,8.63,8.51,8.39,0.07,-0.46,1.89,-0.79,-2.35,NA,NA,27.3,51.8
521,5,5,1991,1991-05,8.58,6.5,9.08,8.65,8.5,8.39,0.05,-0.19,1.89,-0.69,-2.08,NA,NA,28,50.6
522,6,6,1991,1991-06,8.79,6.5,9.06,8.61,8.48,8.39,-0.01,-0.4,1.89,-0.67,-2.29,NA,NA,27.7,51.6
523,7,7,1991,1991-07,8.83,6.5,9.15,8.92,8.77,8.61,-0.02,-0.22,2.11,-0.54,-2.33,NA,NA,29.1,51.5
524,8,8,1991,1991-08,8.93,7.5,9.31,8.93,8.76,8.56,0.07,-0.37,1.06,-0.75,-1.43,NA,NA,29,50.5
525,9,9,1991,1991-09,9.07,7.5,9.27,8.82,8.64,8.45,0.08,-0.62,0.95,-0.82,-1.57,NA,NA,29,49.8
526,10,10,1991,1991-10,8.78,7.5,9.38,8.76,8.54,8.36,0.14,-0.42,0.86,-1.02,-1.28,NA,NA,30.8,48.6
527,11,11,1991,1991-11,9.04,7.5,9.43,8.8,8.56,8.34,0.1,-0.7,0.84,-1.09,-1.54,NA,NA,28.7,47.1
528,12,12,1991,1991-12,9.23,8,9.58,8.77,8.46,8.24,0.13,-0.99,0.24,-1.34,-1.23,NA,NA,24.6,45.2
529,1,1,1992,1992-01,9.52,8,9.53,8.33,8.08,7.98,0.47,-1.54,-0.02,-1.55,-1.52,NA,NA,24,45.8
530,2,2,1992,1992-02,9.58,8,9.61,8.27,8,7.92,0.33,-1.66,-0.08,-1.69,-1.58,NA,NA,24.7,47.4
531,3,3,1992,1992-03,9.62,8,9.7,8.33,8.05,8,0.27,-1.62,0,-1.7,-1.62,NA,NA,25,48.7
532,4,4,1992,1992-04,9.6,8,9.75,8.41,8.13,8.04,0.29,-1.56,0.04,-1.71,-1.6,NA,NA,26.3,48.4
533,5,5,1992,1992-05,9.61,8,9.79,8.46,8.2,8.08,0.44,-1.53,0.08,-1.71,-1.61,NA,NA,26.9,47.8
534,6,6,1992,1992-06,9.65,8,9.75,8.49,8.25,8.06,0.61,-1.59,0.06,-1.69,-1.65,NA,NA,27.6,46.7
535,7,7,1992,1992-07,9.69,8.75,9.78,8.54,8.31,8.12,0.76,-1.57,-0.63,-1.66,-0.94,NA,NA,25.3,44.9
536,8,8,1992,1992-08,9.72,8.75,9.88,8.6,8.32,8.08,0.7,-1.64,-0.67,-1.8,-0.97,NA,NA,24.2,43.8
537,9,9,1992,1992-09,9.32,8.25,9.5,8.18,7.99,7.71,0.82,-1.61,-0.54,-1.79,-1.07,NA,NA,25,43.8
538,10,10,1992,1992-10,8.91,8.25,8.94,7.37,7.43,7.47,1.13,-1.44,-0.78,-1.47,-0.66,NA,NA,26.1,44
539,11,11,1992,1992-11,8.86,8.25,8.94,7.17,7.28,7.38,1.03,-1.48,-0.87,-1.56,-0.61,NA,NA,26.4,46.2
540,12,12,1992,1992-12,8.91,8.25,9.04,7.13,7.22,7.33,0.77,-1.58,-0.92,-1.71,-0.66,NA,NA,25.3,46.6
541,1,1,1993,1993-01,8.69,8.25,8.59,6.83,6.97,7.15,0.67,-1.54,-1.1,-1.44,-0.44,72.3169,112.4783,25,47
542,2,2,1993,1993-02,8.65,8,8.4,6.58,6.75,6.94,0.82,-1.71,-1.06,-1.46,-0.65,72.6845,111.3664,26.5,46.5
543,3,3,1993,1993-03,8.34,7.5,7.98,6.18,6.38,6.66,0.82,-1.68,-0.84,-1.32,-0.84,72.4898,109.5904,27.1,47
544,4,4,1993,1993-04,8.05,7.25,7.92,6.24,6.48,6.68,0.76,-1.37,-0.57,-1.24,-0.8,74.0734,110.3929,26.3,45.5
545,5,5,1993,1993-05,7.85,7.25,7.51,6.3,6.61,6.83,0.8,-1.02,-0.42,-0.68,-0.6,74.6492,109.8352,26.1,45.7
546,6,6,1993,1993-06,7.82,7.25,7.6,6.38,6.63,6.81,0.72,-1.01,-0.44,-0.79,-0.57,73.9202,107.8526,25.7,47
547,7,7,1993,1993-07,7.28,6.75,7.24,6.13,6.43,6.62,0.97,-0.66,-0.13,-0.62,-0.53,72.3334,103.941,25.3,51.5
548,8,8,1993,1993-08,6.84,6.75,6.61,5.91,6.19,6.41,0.79,-0.43,-0.34,-0.2,-0.09,72.305,102.4315,25.5,51.1
549,9,9,1993,1993-09,6.99,6.25,6.63,5.73,6.03,6.2,0.87,-0.79,-0.05,-0.43,-0.74,75.1311,104.999,23.8,48.2
550,10,10,1993,1993-10,6.74,5.75,6.64,5.51,5.81,6,0.89,-0.74,0.25,-0.64,-0.99,75.6136,104.3226,24.9,47.8
551,11,11,1993,1993-11,6.43,5.75,6.31,5.25,5.64,5.98,1.05,-0.45,0.23,-0.33,-0.68,74.6877,101.6763,23.8,50.5
552,12,12,1993,1993-12,6.19,5.75,6.11,5.1,5.5,5.85,1.1,-0.34,0.1,-0.26,-0.44,75.0423,100.8514,21.3,52.3
553,1,1,1994,1994-01,6.15,5.75,5.89,5.07,5.5,5.8,1.23,-0.35,0.05,-0.09,-0.4,76.2479,101.3998,21.9,54
554,2,2,1994,1994-02,6.22,5.25,5.91,5.36,5.8,6.07,1.04,-0.15,0.82,0.16,-0.97,77.4944,101.6957,21.5,54.8
555,3,3,1994,1994-03,5.99,5.25,5.84,5.75,6.21,6.34,0.75,0.35,1.09,0.5,-0.74,79.3403,103.3124,20.6,54
556,4,4,1994,1994-04,5.66,5,5.59,5.79,6.36,6.48,0.91,0.82,1.48,0.89,-0.66,80.884,103.7455,22.6,54.4
557,5,5,1994,1994-05,5.36,4.5,5.2,5.88,6.56,6.66,1.02,1.3,2.16,1.46,-0.86,82.8163,105.0761,23.9,56.1
558,6,6,1994,1994-06,5.14,4.5,5.07,6.36,7,7.05,0.64,1.91,2.55,1.98,-0.64,83.4705,105.2333,24.5,57.7
559,7,7,1994,1994-07,5.04,4.5,4.97,6.2,6.86,6.9,0.9,1.86,2.4,1.93,-0.54,86.1542,107.623,24.9,58.8
560,8,8,1994,1994-08,4.93,4.5,5,6.44,7.08,7.09,0.76,2.16,2.59,2.09,-0.43,86.4382,107.4271,24.2,58.2
561,9,9,1994,1994-09,4.81,4.5,5.07,6.85,7.46,7.52,0.55,2.71,3.02,2.45,-0.31,86.8331,107.3443,22.8,60.9
562,10,10,1994,1994-10,4.93,4.5,5.22,6.97,7.5,7.54,0.63,2.61,3.04,2.32,-0.43,88.2459,108.2836,22.7,60.2
563,11,11,1994,1994-11,5.03,4.5,5.21,6.92,7.44,7.49,0.58,2.46,2.99,2.28,-0.53,87.5581,106.5835,23.7,62.6
564,12,12,1994,1994-12,4.9,4.5,5.4,7.02,7.45,7.46,0.68,2.56,2.96,2.06,-0.4,86.839,105.051,23.3,63.5
565,1,1,1995,1995-01,4.98,4.5,5.16,7.09,7.55,7.6,0.81,2.62,3.1,2.44,-0.48,88.9457,106.3907,23.4,64.2
566,2,2,1995,1995-02,4.99,4.5,5.1,6.89,7.33,7.42,0.81,2.43,2.92,2.32,-0.49,90.034,107.2372,23.6,62.2
567,3,3,1995,1995-03,4.79,4,5.07,6.59,7.12,7.28,0.81,2.49,3.28,2.21,-0.79,92.2918,109.3559,22.5,60.3
568,4,4,1995,1995-04,4.66,4,4.68,6.17,6.86,7.09,1.03,2.43,3.09,2.41,-0.66,92.8165,109.3222,23.8,59.1
569,5,5,1995,1995-05,4.66,4,4.59,5.86,6.58,6.86,1.14,2.2,2.86,2.27,-0.66,91.76,108.1687,24.2,58.7
570,6,6,1995,1995-06,4.55,4,4.53,5.69,6.53,6.78,1.11,2.23,2.78,2.25,-0.55,92.7145,108.252,22.7,58.9
571,7,7,1995,1995-07,4.57,4,4.56,5.8,6.62,6.86,1.1,2.29,2.86,2.3,-0.57,94.0134,109.3068,21.1,59.2
572,8,8,1995,1995-08,4.4,3.5,4.46,5.66,6.48,6.74,1.04,2.34,3.24,2.28,-0.9,93.1505,108.0084,22,60.6
573,9,9,1995,1995-09,4.2,3.5,4.19,5.38,6.25,6.59,1.12,2.39,3.09,2.4,-0.7,92.9152,107.346,22.7,60.5
574,10,10,1995,1995-10,4.1,3.5,4.09,5.33,6.22,6.57,1.07,2.47,3.07,2.48,-0.6,94.601,108.7805,21.5,59.2
575,11,11,1995,1995-11,4.06,3.5,4.01,4.99,5.93,6.34,1.01,2.28,2.84,2.33,-0.56,95.1919,109.1595,22.2,60
576,12,12,1995,1995-12,4.08,3,3.94,4.78,5.69,6.07,0.92,1.99,3.07,2.13,-1.08,94.7271,108.3803,23.8,59.9
577,1,1,1996,1996-01,3.61,3,3.61,4.56,5.44,5.89,1.04,2.28,2.89,2.28,-0.61,94.7893,108.0014,23.6,59.2
578,2,2,1996,1996-02,3.34,3,3.35,4.96,5.82,6.2,0.84,2.86,3.2,2.85,-0.34,94.8835,107.6675,23.6,58.6
579,3,3,1996,1996-03,3.38,3,3.36,5.1,5.99,6.44,1.2,3.06,3.44,3.08,-0.38,94.8533,107.2698,25.3,58.2
580,4,4,1996,1996-04,3.37,2.5,3.33,5,5.88,6.38,1.2,3.01,3.88,3.05,-0.87,94.4395,106.208,27.5,60.3
581,5,5,1996,1996-05,3.33,2.5,3.29,5.01,5.92,6.45,1.19,3.12,3.95,3.16,-0.83,93.9032,105.3153,26.1,61.9
582,6,6,1996,1996-06,3.34,2.5,3.39,5.19,6.04,6.56,1.01,3.22,4.06,3.17,-0.84,94.5031,105.5733,25.2,58.2
583,7,7,1996,1996-07,3.29,2.5,3.38,5.26,6.04,6.48,0.84,3.19,3.98,3.1,-0.79,95.6937,106.6259,26.3,56.7
584,8,8,1996,1996-08,3.25,2.5,3.29,4.99,5.84,6.3,1.01,3.05,3.8,3.01,-0.75,96.7015,107.3193,27,56.4
585,9,9,1996,1996-09,3.09,2.5,3.12,4.88,5.75,6.23,0.82,3.14,3.73,3.11,-0.59,96.2072,106.4439,30.2,56.1
586,10,10,1996,1996-10,3.08,2.5,3.12,4.6,5.5,6.01,0.8,2.93,3.51,2.89,-0.58,95.5578,105.5439,32.3,54.4
587,11,11,1996,1996-11,3.09,2.5,3.19,4.59,5.42,5.86,0.81,2.77,3.36,2.67,-0.59,96.0547,105.6005,30.4,54.5
588,12,12,1996,1996-12,3.11,2.5,3.23,4.47,5.32,5.79,0.73,2.68,3.29,2.56,-0.61,95.0602,104.1654,31.9,55.4
589,1,1,1997,1997-01,3.12,2.5,3.14,4.4,5.28,5.8,0.8,2.68,3.3,2.66,-0.62,93.6892,102.3015,32.5,58.5
590,2,2,1997,1997-02,3.13,2.5,3.19,4.24,5.02,5.55,0.76,2.42,3.05,2.36,-0.63,91.9629,99.4387,30.5,62.7
591,3,3,1997,1997-03,3.15,2.5,3.26,4.48,5.2,5.71,0.62,2.56,3.21,2.45,-0.65,91.2301,98.365,29.5,66.4
592,4,4,1997,1997-04,3.08,2.5,3.23,4.49,5.29,5.87,0.71,2.79,3.37,2.64,-0.58,91.0304,97.4824,27.6,66.6
593,5,5,1997,1997-05,3.01,2.5,3.17,4.41,5.2,5.76,0.69,2.75,3.26,2.59,-0.51,90.8279,97.286,28.8,69.1
594,6,6,1997,1997-06,3.07,2.5,3.14,4.34,5.12,5.72,0.66,2.65,3.22,2.58,-0.57,89.6863,95.6682,27.4,67.2
595,7,7,1997,1997-07,3.09,2.5,3.14,4.31,4.99,5.56,0.59,2.47,3.06,2.42,-0.59,87.6234,93.2141,28.6,66.3
596,8,8,1997,1997-08,3.16,2.5,3.26,4.6,5.16,5.66,0.5,2.5,3.16,2.4,-0.66,87.2511,92.474,30.1,68.9
597,9,9,1997,1997-09,3.1,2.5,3.31,4.63,5.13,5.59,0.47,2.49,3.09,2.28,-0.6,89.8182,95.0962,29.2,66.3
598,10,10,1997,1997-10,3.4,2.5,3.58,4.92,5.28,5.58,0.48,2.18,3.08,2,-0.9,91.4331,96.418,30.7,64
599,11,11,1997,1997-11,3.46,2.5,3.74,4.93,5.29,5.56,0.67,2.1,3.06,1.82,-0.96,93.0432,98.0479,29.1,62.7
600,12,12,1997,1997-12,3.44,2.5,3.74,4.79,5.1,5.33,0.61,1.89,2.83,1.59,-0.94,93.8255,98.3743,27.3,62.7
601,1,1,1998,1998-01,3.42,2.5,3.57,4.51,4.85,5.11,0.59,1.69,2.61,1.54,-0.92,93.9391,97.8439,25,62.1
602,2,2,1998,1998-02,3.49,2.5,3.51,4.39,4.73,4.99,0.61,1.5,2.49,1.48,-0.99,93.0662,96.57,23.6,61.8
603,3,3,1998,1998-03,3.45,2.5,3.52,4.37,4.67,4.9,0.53,1.45,2.4,1.38,-0.95,92.2531,95.4794,22.4,60.9
604,4,4,1998,1998-04,3.41,2.5,3.63,4.48,4.73,4.9,0.52,1.49,2.4,1.27,-0.91,92.7248,95.866,22.9,59.6
605,5,5,1998,1998-05,3.41,2.5,3.63,4.52,4.78,4.96,0.88,1.55,2.46,1.33,-0.91,95.3394,98.3903,22.8,57.8
606,6,6,1998,1998-06,3.47,2.5,3.56,4.39,4.63,4.8,1.01,1.33,2.3,1.24,-0.97,95.8748,98.7641,21.6,56.3
607,7,7,1998,1998-07,3.39,2.5,3.54,4.29,4.55,4.68,1.01,1.29,2.18,1.14,-0.89,95.7782,98.4089,20.9,56
608,8,8,1998,1998-08,3.48,2.5,3.5,4.05,4.31,4.42,0.95,0.94,1.92,0.92,-0.98,97.2267,99.7704,19.9,54
609,9,9,1998,1998-09,3.48,2.5,3.49,3.71,3.98,4.06,1.09,0.58,1.56,0.57,-0.98,101.007,103.0532,20.7,51.1
610,10,10,1998,1998-10,3.41,2.5,3.57,3.65,3.94,4.06,1.05,0.65,1.56,0.49,-0.91,103.3043,104.4336,19.4,48.5
611,11,11,1998,1998-11,3.42,2.5,3.63,3.67,3.96,4.12,1.03,0.7,1.62,0.49,-0.92,101.116,102.0418,18,50.1
612,12,12,1998,1998-12,3.14,2.5,3.38,3.39,3.68,3.86,1.31,0.72,1.36,0.48,-0.64,101.7774,102.3261,15.8,48.8
613,1,1,1999,1999-01,3.14,2.5,3.13,3.18,3.51,3.7,1.22,0.56,1.2,0.57,-0.64,101.4594,101.5886,17,48.2
614,2,2,1999,1999-02,3.12,2.5,3.09,3.28,3.62,3.85,1.12,0.73,1.35,0.76,-0.62,100.037,99.9722,16.9,48.5
615,3,3,1999,1999-03,2.93,2.5,3.05,3.36,3.76,4.04,1.14,1.11,1.54,0.99,-0.43,98.6514,98.4365,20.8,49.3
616,4,4,1999,1999-04,2.71,2.5,2.7,3.09,3.52,3.85,1.31,1.14,1.35,1.15,-0.21,97.2216,97.0629,24.8,50.9
617,5,5,1999,1999-05,2.55,1.95,2.58,3.16,3.61,4.01,1.24,1.46,2.06,1.43,-0.6,96.7969,96.3073,25.4,51.4
618,6,6,1999,1999-06,2.56,1.95,2.63,3.55,4,4.36,1.15,1.8,2.41,1.73,-0.61,94.9727,94.3621,26.7,52.2
619,7,7,1999,1999-07,2.52,1.95,2.68,3.92,4.4,4.68,1.08,2.16,2.73,2,-0.57,94.9237,94.295,30.4,52.1
620,8,8,1999,1999-08,2.44,1.95,2.7,4.2,4.65,4.88,1.1,2.44,2.93,2.18,-0.49,96.2626,95.47,32.1,52.4
621,9,9,1999,1999-09,2.43,1.95,2.73,4.31,4.82,5.04,1.09,2.61,3.09,2.31,-0.48,95.1962,94.0657,36.1,54
622,10,10,1999,1999-10,2.5,1.95,3.38,4.67,5.11,5.29,1.13,2.79,3.34,1.91,-0.55,96.4921,95.037,34.4,52.9
623,11,11,1999,1999-11,2.94,1.95,3.47,4.51,4.87,5.04,1.29,2.1,3.09,1.57,-0.99,94.0353,92.6504,38.7,55.3
624,12,12,1999,1999-12,3.04,1.95,3.45,4.61,4.93,5.15,1.19,2.11,3.2,1.7,-1.09,92.2151,90.6998,40.7,57.8
625,1,1,2000,2000-01,3.04,2.68,3.34,4.94,5.34,5.54,1.06,2.5,2.86,2.2,-0.36,92.3071,90.6916,40.9,59.6
626,2,2,2000,2000-02,3.28,2.68,3.54,5.02,5.38,5.51,1.18,2.23,2.83,1.97,-0.6,90.9996,89.131,45.2,61
627,3,3,2000,2000-03,3.51,2.68,3.75,4.91,5.21,5.33,1.29,1.82,2.65,1.58,-0.83,89.531,87.6364,46.6,61.7
628,4,4,2000,2000-04,3.69,2.68,3.93,4.86,5.12,5.22,1.24,1.53,2.54,1.29,-1.01,88.2656,86.3436,40.7,61.9
629,5,5,2000,2000-05,3.92,3.42,4.36,5.2,5.35,5.38,1.2,1.46,1.96,1.02,-0.5,86.5443,84.6719,50,65.3
630,6,6,2000,2000-06,4.29,3.42,4.5,5.09,5.17,5.19,1.11,0.9,1.77,0.69,-0.87,89.7785,87.6708,51.4,61.2
631,7,7,2000,2000-07,4.31,3.42,4.58,5.23,5.29,5.27,1.07,0.96,1.85,0.69,-0.89,89.182,86.9745,50.2,61.3
632,8,8,2000,2000-08,4.42,3.42,4.78,5.28,5.27,5.21,1.12,0.79,1.79,0.43,-1,86.7281,84.59,54.8,62.8
633,9,9,2000,2000-09,4.59,4.26,4.85,5.24,5.27,5.26,1.16,0.67,1,0.41,-0.33,85.0222,82.8352,61,66.9
634,10,10,2000,2000-10,4.76,4.26,5.04,5.13,5.18,5.21,1.17,0.45,0.95,0.17,-0.5,84.0005,81.7612,60.5,66.5
635,11,11,2000,2000-11,4.83,4.26,5.09,5.08,5.12,5.15,1.12,0.32,0.89,0.06,-0.57,84.7722,82.3124,62.2,66.1
636,12,12,2000,2000-12,4.83,4.26,4.94,4.73,4.8,4.89,1.27,0.06,0.63,-0.05,-0.57,87.8212,85.3154,48.8,64.9
637,1,1,2001,2001-01,4.76,4.26,4.77,4.53,4.67,4.8,1.27,0.04,0.54,0.03,-0.5,91.311,88.2623,46,62.2
