"",BBEX3.D.KRW.USD.CA.AA.000,BBEX3.D.KRW.USD.CA.AA.000_FLAGS
2002-01-16,1303.00,
2002-01-17,1304.40,
2002-01-18,1307.60,
2002-01-19,.,No value available
2002-01-20,.,No value available
2002-01-21,1307.50,
2002-01-22,1318.40,
2002-01-23,1318.20,
2002-01-24,1317.50,
2002-01-25,1314.60,
2002-01-26,.,No value available
2002-01-27,.,No value available
2002-01-28,1308.40,
2002-01-29,1300.80,
2002-01-30,1298.20,
2002-01-31,1301.60,
2002-02-01,1304.70,
2002-02-02,.,No value available
2002-02-03,.,No value available
2002-02-04,1304.90,
2002-02-05,1303.90,
2002-02-06,1303.80,
2002-02-07,1305.30,
2002-02-08,1307.30,
2002-02-09,.,No value available
2002-02-10,.,No value available
2002-02-11,.,No value available
2002-02-12,.,No value available
2002-02-13,.,No value available
2002-02-14,1303.60,
2002-02-15,1302.40,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,1303.70,
2002-02-19,1308.10,
2002-02-20,1307.10,
2002-02-21,1305.90,
2002-02-22,1309.10,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,1311.00,
2002-02-26,1312.50,
2002-02-27,1314.30,
2002-02-28,1310.90,
2002-03-01,.,No value available
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,1305.40,
2002-03-05,1303.50,
2002-03-06,1303.20,
2002-03-07,1301.70,
2002-03-08,1301.50,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,1304.10,
2002-03-12,1305.60,
2002-03-13,1307.30,
2002-03-14,1309.20,
2002-03-15,1309.80,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,1312.50,
2002-03-19,1313.60,
2002-03-20,1312.90,
2002-03-21,1314.00,
2002-03-22,1315.40,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,1318.50,
2002-03-26,1316.30,
2002-03-27,1314.00,
2002-03-28,1314.00,
2002-03-29,1313.00,
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,1314.50,
2002-04-02,1316.00,
2002-04-03,1316.00,
2002-04-04,1317.50,
2002-04-05,.,No value available
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,1315.20,
2002-04-09,1316.60,
2002-04-10,1316.20,
2002-04-11,1317.00,
2002-04-12,1319.20,
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,1314.90,
2002-04-16,1312.70,
2002-04-17,1305.80,
2002-04-18,1300.20,
2002-04-19,1299.40,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,1296.00,
2002-04-23,1293.50,
2002-04-24,1294.20,
2002-04-25,1284.60,
2002-04-26,1284.90,
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,1280.70,
2002-04-30,1281.10,
2002-05-01,.,No value available
2002-05-02,1275.40,
2002-05-03,1271.50,
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,1268.70,
2002-05-07,1266.90,
2002-05-08,1272.80,
2002-05-09,1270.00,
2002-05-10,1267.50,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,1264.80,
2002-05-14,1266.80,
2002-05-15,1264.70,
2002-05-16,1257.10,
2002-05-17,1249.30,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,1241.30,
2002-05-21,1242.40,
2002-05-22,1235.10,
2002-05-23,1233.80,
2002-05-24,1230.90,
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,1221.80,
2002-05-28,1225.40,
2002-05-29,1221.90,
2002-05-30,1217.50,
2002-05-31,1214.00,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,1214.30,
2002-06-04,1208.20,
2002-06-05,1212.40,
2002-06-06,.,No value available
2002-06-07,1215.20,
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,1217.80,
2002-06-11,1213.50,
2002-06-12,1221.60,
2002-06-13,.,No value available
2002-06-14,1224.10,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,1218.50,
2002-06-18,1222.00,
2002-06-19,1218.30,
2002-06-20,1212.80,
2002-06-21,1207.50,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,1201.70,
2002-06-25,1201.90,
2002-06-26,1192.30,
2002-06-27,1191.20,
2002-06-28,1189.60,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,.,No value available
2002-07-02,1194.00,
2002-07-03,1195.80,
2002-07-04,1188.80,
2002-07-05,1193.20,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,1179.80,
2002-07-09,1170.70,
2002-07-10,1166.70,
2002-07-11,1168.00,
2002-07-12,1171.30,
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,1165.10,
2002-07-16,1160.40,
2002-07-17,.,No value available
2002-07-18,1163.30,
2002-07-19,1159.20,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,1154.00,
2002-07-23,1161.70,
2002-07-24,1163.40,
2002-07-25,1159.50,
2002-07-26,1178.60,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,1188.30,
2002-07-30,1181.50,
2002-07-31,1176.40,
2002-08-01,1171.30,
2002-08-02,1172.90,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,1186.30,
2002-08-06,1197.20,
2002-08-07,1191.50,
2002-08-08,1195.00,
2002-08-09,1192.00,
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,1189.20,
2002-08-13,1188.30,
2002-08-14,1174.70,
2002-08-15,.,No value available
2002-08-16,1177.20,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,1182.80,
2002-08-20,1183.60,
2002-08-21,1180.40,
2002-08-22,1181.90,
2002-08-23,1190.90,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,1193.50,
2002-08-27,1188.30,
2002-08-28,1189.30,
2002-08-29,1189.50,
2002-08-30,1189.80,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,1190.50,
2002-09-03,1189.00,
2002-09-04,1183.60,
2002-09-05,1179.40,
2002-09-06,1185.10,
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,1185.20,
2002-09-10,1186.40,
2002-09-11,1190.80,
2002-09-12,1189.60,
2002-09-13,1192.10,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,1208.10,
2002-09-17,1206.70,
2002-09-18,1201.20,
2002-09-19,1197.60,
2002-09-20,.,No value available
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,1209.10,
2002-09-24,1211.80,
2002-09-25,1213.50,
2002-09-26,1216.70,
2002-09-27,1215.90,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,1215.80,
2002-10-01,1215.50,
2002-10-02,1218.40,
2002-10-03,.,No value available
2002-10-04,1220.40,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,1228.80,
2002-10-08,1234.90,
2002-10-09,1234.40,
2002-10-10,1245.50,
2002-10-11,1246.70,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,1246.70,
2002-10-15,1251.20,
2002-10-16,1234.70,
2002-10-17,1228.50,
2002-10-18,1234.80,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,1231.30,
2002-10-22,1231.50,
2002-10-23,1219.90,
2002-10-24,1220.00,
2002-10-25,1219.90,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,1221.70,
2002-10-29,1215.40,
2002-10-30,1219.80,
2002-10-31,1209.60,
2002-11-01,1213.00,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,1207.10,
2002-11-05,1205.10,
2002-11-06,1210.20,
2002-11-07,1205.30,
2002-11-08,1195.40,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,1188.80,
2002-11-12,1193.70,
2002-11-13,1190.30,
2002-11-14,1199.70,
2002-11-15,1196.80,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,1197.50,
2002-11-19,1196.80,
2002-11-20,1204.60,
2002-11-21,1201.90,
2002-11-22,1199.90,
2002-11-23,.,No value available
2002-11-24,.,No value available
2002-11-25,1199.70,
2002-11-26,1194.20,
2002-11-27,1195.60,
2002-11-28,1195.70,
2002-11-29,1196.70,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,1200.70,
2002-12-03,1205.90,
2002-12-04,1204.30,
2002-12-05,1214.30,
2002-12-06,1208.10,
2002-12-07,.,No value available
2002-12-08,.,No value available
2002-12-09,1200.70,
2002-12-10,1205.50,
2002-12-11,1200.70,
2002-12-12,1200.00,
2002-12-13,1198.20,
2002-12-14,.,No value available
2002-12-15,.,No value available
2002-12-16,1191.10,
2002-12-17,1184.30,
2002-12-18,1191.80,
2002-12-19,1198.20,
2002-12-20,1192.90,
2002-12-21,.,No value available
2002-12-22,.,No value available
2002-12-23,1189.80,
2002-12-24,1189.10,
2002-12-25,.,No value available
2002-12-26,1188.10,
2002-12-27,1185.80,
2002-12-28,.,No value available
2002-12-29,.,No value available
2002-12-30,1184.90,
2002-12-31,1174.70,
2003-01-01,.,No value available
2003-01-02,1181.20,
2003-01-03,1185.20,
2003-01-04,.,No value available
2003-01-05,.,No value available
2003-01-06,1177.40,
2003-01-07,1174.90,
2003-01-08,1175.60,
2003-01-09,1167.30,
2003-01-10,1167.20,
2003-01-11,.,No value available
2003-01-12,.,No value available
2003-01-13,1166.80,
2003-01-14,1165.20,
2003-01-15,1163.90,
2003-01-16,1161.80,
2003-01-17,1162.00,
2003-01-18,.,No value available
2003-01-19,.,No value available
2003-01-20,1162.70,
2003-01-21,1168.50,
2003-01-22,1165.00,
2003-01-23,1164.30,
2003-01-24,1159.20,
2003-01-25,.,No value available
2003-01-26,.,No value available
2003-01-27,1159.30,
2003-01-28,1158.60,
2003-01-29,1158.60,
2003-01-30,1158.60,
2003-01-31,.,No value available
2003-02-01,.,No value available
2003-02-02,.,No value available
2003-02-03,1166.80,
2003-02-04,1165.90,
2003-02-05,1162.80,
2003-02-06,1165.20,
2003-02-07,1172.00,
2003-02-08,.,No value available
2003-02-09,.,No value available
2003-02-10,1180.90,
2003-02-11,1197.40,
2003-02-12,1187.30,
2003-02-13,1191.10,
2003-02-14,1191.80,
2003-02-15,.,No value available
2003-02-16,.,No value available
2003-02-17,1195.50,
2003-02-18,1188.60,
2003-02-19,1187.30,
2003-02-20,1184.70,
2003-02-21,1180.40,
2003-02-22,.,No value available
2003-02-23,.,No value available
2003-02-24,1180.60,
2003-02-25,1173.40,
2003-02-26,1176.90,
2003-02-27,1176.10,
2003-02-28,1182.10,
2003-03-01,.,No value available
2003-03-02,.,No value available
2003-03-03,1182.60,
2003-03-04,1181.40,
2003-03-05,1187.50,
2003-03-06,1198.70,
2003-03-07,1207.10,
2003-03-08,.,No value available
2003-03-09,.,No value available
2003-03-10,1226.70,
2003-03-11,1218.00,
2003-03-12,1231.90,
2003-03-13,1233.70,
2003-03-14,1229.40,
2003-03-15,.,No value available
2003-03-16,.,No value available
2003-03-17,1235.30,
2003-03-18,1241.80,
2003-03-19,1244.50,
2003-03-20,1233.80,
2003-03-21,1235.60,
2003-03-22,.,No value available
2003-03-23,.,No value available
2003-03-24,1238.80,
2003-03-25,1237.60,
2003-03-26,1232.40,
2003-03-27,1234.80,
2003-03-28,1243.20,
2003-03-29,.,No value available
2003-03-30,.,No value available
2003-03-31,1242.40,
2003-04-01,1244.30,
2003-04-02,1241.80,
2003-04-03,1242.90,
2003-04-04,1245.70,
2003-04-05,.,No value available
2003-04-06,.,No value available
2003-04-07,1245.10,
2003-04-08,1241.30,
2003-04-09,1237.60,
2003-04-10,1218.00,
2003-04-11,1217.50,
2003-04-12,.,No value available
2003-04-13,.,No value available
2003-04-14,1211.90,
2003-04-15,1205.50,
2003-04-16,1203.10,
2003-04-17,1194.50,
2003-04-18,1192.10,
2003-04-19,.,No value available
2003-04-20,.,No value available
2003-04-21,1196.70,
2003-04-22,1207.90,
2003-04-23,1207.10,
2003-04-24,1208.50,
2003-04-25,1225.70,
2003-04-26,.,No value available
2003-04-27,.,No value available
2003-04-28,1211.00,
2003-04-29,1206.00,
2003-04-30,1203.40,
2003-05-01,.,No value available
2003-05-02,1200.70,
2003-05-03,.,No value available
2003-05-04,.,No value available
2003-05-05,.,No value available
2003-05-06,1192.30,
2003-05-07,1187.30,
2003-05-08,.,No value available
2003-05-09,1188.70,
2003-05-10,.,No value available
2003-05-11,.,No value available
2003-05-12,1183.70,
2003-05-13,1187.60,
2003-05-14,1188.30,
2003-05-15,1184.80,
2003-05-16,1187.80,
2003-05-17,.,No value available
2003-05-18,.,No value available
2003-05-19,1181.40,
2003-05-20,1186.90,
2003-05-21,1182.50,
2003-05-22,1183.70,
2003-05-23,1182.70,
2003-05-24,.,No value available
2003-05-25,.,No value available
2003-05-26,1187.30,
2003-05-27,1186.80,
2003-05-28,1188.80,
2003-05-29,1195.60,
2003-05-30,1194.30,
2003-05-31,.,No value available
2003-06-01,.,No value available
2003-06-02,1193.60,
2003-06-03,1189.80,
2003-06-04,1188.90,
2003-06-05,1188.60,
2003-06-06,.,No value available
2003-06-07,.,No value available
2003-06-08,.,No value available
2003-06-09,1189.10,
2003-06-10,1182.90,
2003-06-11,1183.50,
2003-06-12,1181.60,
2003-06-13,1180.30,
2003-06-14,.,No value available
2003-06-15,.,No value available
2003-06-16,1178.70,
2003-06-17,1172.90,
2003-06-18,1173.20,
2003-06-19,1186.80,
2003-06-20,1179.00,
2003-06-21,.,No value available
2003-06-22,.,No value available
2003-06-23,1178.70,
2003-06-24,1178.20,
2003-06-25,1175.70,
2003-06-26,1175.20,
2003-06-27,1182.60,
2003-06-28,.,No value available
2003-06-29,.,No value available
2003-06-30,1181.50,
2003-07-01,1178.50,
2003-07-02,1175.50,
2003-07-03,1172.10,
2003-07-04,1171.20,
2003-07-05,.,No value available
2003-07-06,.,No value available
2003-07-07,1170.50,
2003-07-08,1168.60,
2003-07-09,1167.60,
2003-07-10,1167.00,
2003-07-11,1166.70,
2003-07-12,.,No value available
2003-07-13,.,No value available
2003-07-14,1164.80,
2003-07-15,1164.50,
2003-07-16,1165.20,
2003-07-17,.,No value available
2003-07-18,1171.20,
2003-07-19,.,No value available
2003-07-20,.,No value available
2003-07-21,1166.80,
2003-07-22,1171.50,
2003-07-23,1169.40,
2003-07-24,1168.30,
2003-07-25,1168.50,
2003-07-26,.,No value available
2003-07-27,.,No value available
2003-07-28,1167.30,
2003-07-29,1167.00,
2003-07-30,1168.50,
2003-07-31,1168.20,
2003-08-01,1172.20,
2003-08-02,.,No value available
2003-08-03,.,No value available
2003-08-04,1169.60,
2003-08-05,1176.30,
2003-08-06,1172.80,
2003-08-07,1173.40,
2003-08-08,1169.50,
2003-08-09,.,No value available
2003-08-10,.,No value available
2003-08-11,1167.70,
2003-08-12,1167.00,
2003-08-13,1168.20,
2003-08-14,1165.10,
2003-08-15,.,No value available
2003-08-16,.,No value available
2003-08-17,.,No value available
2003-08-18,1166.70,
2003-08-19,1167.60,
2003-08-20,1164.10,
2003-08-21,1161.40,
2003-08-22,1158.10,
2003-08-23,.,No value available
2003-08-24,.,No value available
2003-08-25,1159.50,
2003-08-26,1158.60,
2003-08-27,1166.00,
2003-08-28,1166.50,
2003-08-29,1167.50,
2003-08-30,.,No value available
2003-08-31,.,No value available
2003-09-01,1163.80,
2003-09-02,1167.50,
2003-09-03,1162.80,
2003-09-04,1161.70,
2003-09-05,1159.10,
2003-09-06,.,No value available
2003-09-07,.,No value available
2003-09-08,1160.10,
2003-09-09,1158.60,
2003-09-10,.,No value available
2003-09-11,.,No value available
2003-09-12,.,No value available
2003-09-13,.,No value available
2003-09-14,.,No value available
2003-09-15,1161.30,
2003-09-16,1158.60,
2003-09-17,1159.60,
2003-09-18,1158.50,
2003-09-19,1156.60,
2003-09-20,.,No value available
2003-09-21,.,No value available
2003-09-22,1140.00,
2003-09-23,1139.10,
2003-09-24,1139.20,
2003-09-25,1140.30,
2003-09-26,1139.30,
2003-09-27,.,No value available
2003-09-28,.,No value available
2003-09-29,1139.30,
2003-09-30,1139.00,
2003-10-01,1140.70,
2003-10-02,1138.80,
2003-10-03,.,No value available
2003-10-04,.,No value available
2003-10-05,.,No value available
2003-10-06,1140.30,
2003-10-07,1139.90,
2003-10-08,1138.70,
2003-10-09,1137.40,
2003-10-10,1136.10,
2003-10-11,.,No value available
2003-10-12,.,No value available
2003-10-13,1135.90,
2003-10-14,1154.60,
2003-10-15,1159.10,
2003-10-16,1163.20,
2003-10-17,1161.20,
2003-10-18,.,No value available
2003-10-19,.,No value available
2003-10-20,1162.50,
2003-10-21,1170.50,
2003-10-22,1169.80,
2003-10-23,1172.60,
2003-10-24,1173.10,
2003-10-25,.,No value available
2003-10-26,.,No value available
2003-10-27,1171.40,
2003-10-28,1171.80,
2003-10-29,1166.70,
2003-10-30,1164.90,
2003-10-31,1171.60,
2003-11-01,.,No value available
2003-11-02,.,No value available
2003-11-03,1174.00,
2003-11-04,1173.50,
2003-11-05,1170.90,
2003-11-06,1169.50,
2003-11-07,1167.80,
2003-11-08,.,No value available
2003-11-09,.,No value available
2003-11-10,1162.50,
2003-11-11,1165.90,
2003-11-12,1161.60,
2003-11-13,1160.20,
2003-11-14,1159.80,
2003-11-15,.,No value available
2003-11-16,.,No value available
2003-11-17,1171.00,
2003-11-18,1167.80,
2003-11-19,1165.40,
2003-11-20,1179.90,
2003-11-21,1183.80,
2003-11-22,.,No value available
2003-11-23,.,No value available
2003-11-24,1191.10,
2003-11-25,1191.10,
2003-11-26,1190.70,
2003-11-27,1190.80,
2003-11-28,1190.30,
2003-11-29,.,No value available
2003-11-30,.,No value available
2003-12-01,1187.70,
2003-12-02,1183.50,
2003-12-03,1183.50,
2003-12-04,1179.20,
2003-12-05,1179.40,
2003-12-06,.,No value available
2003-12-07,.,No value available
2003-12-08,1174.50,
2003-12-09,1175.20,
2003-12-10,1174.10,
2003-12-11,1176.40,
2003-12-12,1173.40,
2003-12-13,.,No value available
2003-12-14,.,No value available
2003-12-15,1171.50,
2003-12-16,1178.10,
2003-12-17,1177.10,
2003-12-18,1177.40,
2003-12-19,1179.30,
2003-12-20,.,No value available
2003-12-21,.,No value available
2003-12-22,1183.00,
2003-12-23,1184.10,
2003-12-24,1184.10,
2003-12-25,.,No value available
2003-12-26,1187.30,
2003-12-27,.,No value available
2003-12-28,.,No value available
2003-12-29,1186.30,
2003-12-30,1185.70,
2003-12-31,1181.00,
2004-01-01,.,No value available
2004-01-02,1183.30,
2004-01-03,.,No value available
2004-01-04,.,No value available
2004-01-05,1180.40,
2004-01-06,1175.40,
2004-01-07,1175.20,
2004-01-08,1171.00,
2004-01-09,1171.00,
2004-01-10,.,No value available
2004-01-11,.,No value available
2004-01-12,1164.50,
2004-01-13,1168.00,
2004-01-14,1168.70,
2004-01-15,1174.50,
2004-01-16,1174.40,
2004-01-17,.,No value available
2004-01-18,.,No value available
2004-01-19,1173.50,
2004-01-20,1176.40,
2004-01-21,.,No value available
2004-01-22,.,No value available
2004-01-23,.,No value available
2004-01-24,.,No value available
2004-01-25,.,No value available
2004-01-26,1169.00,
2004-01-27,1164.70,
2004-01-28,1160.20,
2004-01-29,1160.60,
2004-01-30,1162.10,
2004-01-31,.,No value available
2004-02-01,.,No value available
2004-02-02,1159.10,
2004-02-03,1156.60,
2004-02-04,1157.10,
2004-02-05,1154.80,
2004-02-06,1156.70,
2004-02-07,.,No value available
2004-02-08,.,No value available
2004-02-09,1154.90,
2004-02-10,1150.80,
2004-02-11,1149.30,
2004-02-12,1149.10,
2004-02-13,1148.80,
2004-02-14,.,No value available
2004-02-15,.,No value available
2004-02-16,1146.20,
2004-02-17,1146.80,
2004-02-18,1141.00,
2004-02-19,1152.70,
2004-02-20,1155.90,
2004-02-21,.,No value available
2004-02-22,.,No value available
2004-02-23,1168.20,
2004-02-24,1164.60,
2004-02-25,1158.70,
2004-02-26,1160.20,
2004-02-27,1164.70,
2004-02-28,.,No value available
2004-02-29,.,No value available
2004-03-01,.,No value available
2004-03-02,1162.10,
2004-03-03,1165.70,
2004-03-04,1158.70,
2004-03-05,1161.30,
2004-03-06,.,No value available
2004-03-07,.,No value available
2004-03-08,1161.90,
2004-03-09,1163.40,
2004-03-10,1161.50,
2004-03-11,1157.60,
2004-03-12,1169.30,
2004-03-13,.,No value available
2004-03-14,.,No value available
2004-03-15,1163.80,
2004-03-16,1159.30,
2004-03-17,1152.70,
2004-03-18,1148.50,
2004-03-19,1147.00,
2004-03-20,.,No value available
2004-03-21,.,No value available
2004-03-22,1148.90,
2004-03-23,1144.90,
2004-03-24,1143.40,
2004-03-25,1145.70,
2004-03-26,1146.40,
2004-03-27,.,No value available
2004-03-28,.,No value available
2004-03-29,1143.20,
2004-03-30,1142.00,
2004-03-31,1135.40,
2004-04-01,1130.10,
2004-04-02,1130.50,
2004-04-03,.,No value available
2004-04-04,.,No value available
2004-04-05,.,No value available
2004-04-06,1138.80,
2004-04-07,1132.00,
2004-04-08,1129.30,
2004-04-09,1132.30,
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,1130.70,
2004-04-13,1130.00,
2004-04-14,1140.10,
2004-04-15,1140.10,
2004-04-16,1148.80,
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,1142.30,
2004-04-20,1140.20,
2004-04-21,1143.50,
2004-04-22,1148.40,
2004-04-23,1147.00,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,1143.70,
2004-04-27,1140.80,
2004-04-28,1145.10,
2004-04-29,1159.30,
2004-04-30,1161.90,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,1160.40,
2004-05-04,1158.40,
2004-05-05,.,No value available
2004-05-06,1154.70,
2004-05-07,1159.70,
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,1171.60,
2004-05-11,1176.70,
2004-05-12,1170.00,
2004-05-13,1173.90,
2004-05-14,1175.40,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,1172.00,
2004-05-18,1174.40,
2004-05-19,1162.00,
2004-05-20,1168.30,
2004-05-21,1163.80,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,1165.70,
2004-05-25,1166.20,
2004-05-26,.,No value available
2004-05-27,1158.40,
2004-05-28,1153.60,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,1148.80,
2004-06-01,1149.30,
2004-06-02,1153.40,
2004-06-03,1153.00,
2004-06-04,1152.40,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,1147.90,
2004-06-08,1146.60,
2004-06-09,1142.90,
2004-06-10,1148.10,
2004-06-11,1152.60,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,1151.10,
2004-06-15,1152.00,
2004-06-16,1145.80,
2004-06-17,1146.00,
2004-06-18,1148.70,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,1145.40,
2004-06-22,1147.10,
2004-06-23,1148.60,
2004-06-24,1144.40,
2004-06-25,1138.60,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,1141.30,
2004-06-29,1140.70,
2004-06-30,1144.20,
2004-07-01,1141.50,
2004-07-02,1143.80,
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,1141.50,
2004-07-06,1143.60,
2004-07-07,1140.80,
2004-07-08,1138.80,
2004-07-09,1138.10,
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,1136.40,
2004-07-13,1138.60,
2004-07-14,1141.80,
2004-07-15,1150.50,
2004-07-16,1153.10,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,1146.20,
2004-07-20,1149.40,
2004-07-21,1147.70,
2004-07-22,1151.10,
2004-07-23,1154.80,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,1150.00,
2004-07-27,1153.40,
2004-07-28,1156.00,
2004-07-29,1156.90,
2004-07-30,1158.60,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,1153.40,
2004-08-03,1153.60,
2004-08-04,1156.20,
2004-08-05,1152.00,
2004-08-06,1151.30,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,1145.00,
2004-08-10,1143.70,
2004-08-11,1148.40,
2004-08-12,1146.50,
2004-08-13,1151.00,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,1147.80,
2004-08-17,1146.30,
2004-08-18,1146.50,
2004-08-19,1143.80,
2004-08-20,1143.00,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,1141.90,
2004-08-24,1144.70,
2004-08-25,1145.10,
2004-08-26,1142.40,
2004-08-27,1141.80,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,1143.20,
2004-08-31,1141.80,
2004-09-01,1140.50,
2004-09-02,1139.30,
2004-09-03,1138.80,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,1141.60,
2004-09-07,1139.60,
2004-09-08,1138.40,
2004-09-09,1133.90,
2004-09-10,1134.60,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,1133.80,
2004-09-14,1133.90,
2004-09-15,1132.90,
2004-09-16,1134.60,
2004-09-17,1135.30,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,1135.00,
2004-09-21,1135.70,
2004-09-22,1133.00,
2004-09-23,1135.10,
2004-09-24,1138.10,
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,.,No value available
2004-09-28,.,No value available
2004-09-29,.,No value available
2004-09-30,1140.60,
2004-10-01,1137.40,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,1138.40,
2004-10-05,1137.40,
2004-10-06,1141.30,
2004-10-07,1138.90,
2004-10-08,1136.70,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,1134.80,
2004-10-12,1134.80,
2004-10-13,1135.90,
2004-10-14,1133.30,
2004-10-15,1134.20,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,1132.40,
2004-10-19,1133.80,
2004-10-20,1131.70,
2004-10-21,1130.00,
2004-10-22,1129.40,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,1123.90,
2004-10-26,1122.40,
2004-10-27,1117.90,
2004-10-28,1114.00,
2004-10-29,1108.70,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,1108.10,
2004-11-02,1103.90,
2004-11-03,1105.30,
2004-11-04,1102.60,
2004-11-05,1099.70,
2004-11-06,.,No value available
2004-11-07,.,No value available
2004-11-08,1094.40,
2004-11-09,1092.70,
2004-11-10,1099.60,
2004-11-11,1101.30,
2004-11-12,1093.70,
2004-11-13,.,No value available
2004-11-14,.,No value available
2004-11-15,1081.30,
2004-11-16,1079.70,
2004-11-17,1070.90,
2004-11-18,1055.00,
2004-11-19,1058.30,
2004-11-20,.,No value available
2004-11-21,.,No value available
2004-11-22,1054.90,
2004-11-23,1055.40,
2004-11-24,1056.20,
2004-11-25,1046.90,
2004-11-26,1036.80,
2004-11-27,.,No value available
2004-11-28,.,No value available
2004-11-29,1036.80,
2004-11-30,1037.80,
2004-12-01,1035.80,
2004-12-02,1031.30,
2004-12-03,1035.10,
2004-12-04,.,No value available
2004-12-05,.,No value available
2004-12-06,1030.70,
2004-12-07,1031.60,
2004-12-08,1048.20,
2004-12-09,1045.00,
2004-12-10,1057.10,
2004-12-11,.,No value available
2004-12-12,.,No value available
2004-12-13,1051.40,
2004-12-14,1047.70,
2004-12-15,1050.70,
2004-12-16,1046.00,
2004-12-17,1049.70,
2004-12-18,.,No value available
2004-12-19,.,No value available
2004-12-20,1047.90,
2004-12-21,1045.20,
2004-12-22,1043.20,
