"",BBEX3.D.NOK.EUR.BB.AC.000,BBEX3.D.NOK.EUR.BB.AC.000_FLAGS
2001-11-27,7.9410,
2001-11-28,7.9415,
2001-11-29,7.9480,
2001-11-30,7.9510,
2001-12-01,.,No value available
2001-12-02,.,No value available
2001-12-03,8.0015,
2001-12-04,7.9665,
2001-12-05,8.0000,
2001-12-06,7.9760,
2001-12-07,7.9770,
2001-12-08,.,No value available
2001-12-09,.,No value available
2001-12-10,7.9895,
2001-12-11,8.0020,
2001-12-12,8.0065,
2001-12-13,8.0235,
2001-12-14,8.0280,
2001-12-15,.,No value available
2001-12-16,.,No value available
2001-12-17,8.0370,
2001-12-18,7.9935,
2001-12-19,7.9805,
2001-12-20,7.9840,
2001-12-21,7.9870,
2001-12-22,.,No value available
2001-12-23,.,No value available
2001-12-24,7.9755,
2001-12-25,.,No value available
2001-12-26,.,No value available
2001-12-27,7.9610,
2001-12-28,7.9515,
2001-12-29,.,No value available
2001-12-30,.,No value available
2001-12-31,.,No value available
2002-01-01,.,No value available
2002-01-02,8.0115,
2002-01-03,8.0105,
2002-01-04,7.9865,
2002-01-05,.,No value available
2002-01-06,.,No value available
2002-01-07,7.9750,
2002-01-08,7.9585,
2002-01-09,7.9475,
2002-01-10,7.9510,
2002-01-11,7.9520,
2002-01-12,.,No value available
2002-01-13,.,No value available
2002-01-14,7.9440,
2002-01-15,7.9495,
2002-01-16,7.9120,
2002-01-17,7.9010,
2002-01-18,7.9105,
2002-01-19,.,No value available
2002-01-20,.,No value available
2002-01-21,7.9140,
2002-01-22,7.9030,
2002-01-23,7.9225,
2002-01-24,7.8760,
2002-01-25,7.8570,
2002-01-26,.,No value available
2002-01-27,.,No value available
2002-01-28,7.8395,
2002-01-29,7.8405,
2002-01-30,7.8535,
2002-01-31,7.8410,
2002-02-01,7.8405,
2002-02-02,.,No value available
2002-02-03,.,No value available
2002-02-04,7.8375,
2002-02-05,7.8550,
2002-02-06,7.8290,
2002-02-07,7.8020,
2002-02-08,7.8315,
2002-02-09,.,No value available
2002-02-10,.,No value available
2002-02-11,7.8360,
2002-02-12,7.8320,
2002-02-13,7.8270,
2002-02-14,7.7795,
2002-02-15,7.7640,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,7.7475,
2002-02-19,7.7485,
2002-02-20,7.7635,
2002-02-21,7.7375,
2002-02-22,7.7620,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,7.7530,
2002-02-26,7.7350,
2002-02-27,7.7130,
2002-02-28,7.7120,
2002-03-01,7.7060,
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,7.6915,
2002-03-05,7.6885,
2002-03-06,7.7065,
2002-03-07,7.7120,
2002-03-08,7.7200,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,7.7260,
2002-03-12,7.7165,
2002-03-13,7.7455,
2002-03-14,7.7645,
2002-03-15,7.7675,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,7.7485,
2002-03-19,7.7395,
2002-03-20,7.7155,
2002-03-21,7.6990,
2002-03-22,7.6930,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,7.7025,
2002-03-26,7.7090,
2002-03-27,7.7110,
2002-03-28,7.7030,
2002-03-29,.,No value available
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,7.6965,
2002-04-03,7.6675,
2002-04-04,7.6455,
2002-04-05,7.6460,
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,7.6320,
2002-04-09,7.6340,
2002-04-10,7.6410,
2002-04-11,7.6230,
2002-04-12,7.6235,
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,7.6140,
2002-04-16,7.6330,
2002-04-17,7.6375,
2002-04-18,7.6340,
2002-04-19,7.6040,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,7.6095,
2002-04-23,7.5925,
2002-04-24,7.6235,
2002-04-25,7.5850,
2002-04-26,7.5745,
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,7.5745,
2002-04-30,7.5730,
2002-05-01,.,No value available
2002-05-02,7.5570,
2002-05-03,7.5645,
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,7.5870,
2002-05-07,7.6230,
2002-05-08,7.5815,
2002-05-09,7.5800,
2002-05-10,7.5645,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,7.5480,
2002-05-14,7.5475,
2002-05-15,7.5360,
2002-05-16,7.5410,
2002-05-17,7.5450,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,7.5510,
2002-05-21,7.5360,
2002-05-22,7.5050,
2002-05-23,7.4830,
2002-05-24,7.4435,
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,7.4400,
2002-05-28,7.4040,
2002-05-29,7.4060,
2002-05-30,7.4340,
2002-05-31,7.4780,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,7.4385,
2002-06-04,7.4435,
2002-06-05,7.4035,
2002-06-06,7.3890,
2002-06-07,7.4430,
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,7.4255,
2002-06-11,7.4240,
2002-06-12,7.4130,
2002-06-13,7.4130,
2002-06-14,7.4155,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,7.4150,
2002-06-18,7.4210,
2002-06-19,7.3760,
2002-06-20,7.3505,
2002-06-21,7.3760,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,7.4005,
2002-06-25,7.3450,
2002-06-26,7.3650,
2002-06-27,7.3980,
2002-06-28,7.4305,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,7.4140,
2002-07-02,7.3535,
2002-07-03,7.3415,
2002-07-04,7.3225,
2002-07-05,7.3070,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,7.3050,
2002-07-09,7.3095,
2002-07-10,7.2960,
2002-07-11,7.2850,
2002-07-12,7.3290,
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,7.3570,
2002-07-16,7.3725,
2002-07-17,7.3775,
2002-07-18,7.3810,
2002-07-19,7.4380,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,7.4820,
2002-07-23,7.5480,
2002-07-24,7.5485,
2002-07-25,7.5470,
2002-07-26,7.5630,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,7.5050,
2002-07-30,7.5050,
2002-07-31,7.4270,
2002-08-01,7.4490,
2002-08-02,7.5075,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,7.5280,
2002-08-06,7.5000,
2002-08-07,7.5080,
2002-08-08,7.4780,
2002-08-09,7.4635,
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,7.4660,
2002-08-13,7.4495,
2002-08-14,7.4480,
2002-08-15,7.4290,
2002-08-16,7.3740,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,7.3820,
2002-08-20,7.3550,
2002-08-21,7.3575,
2002-08-22,7.3960,
2002-08-23,7.4065,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,7.3895,
2002-08-27,7.3805,
2002-08-28,7.3810,
2002-08-29,7.3945,
2002-08-30,7.3815,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,7.3925,
2002-09-03,7.4375,
2002-09-04,7.4425,
2002-09-05,7.3815,
2002-09-06,7.3535,
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,7.3580,
2002-09-10,7.3910,
2002-09-11,7.3790,
2002-09-12,7.3710,
2002-09-13,7.3590,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,7.3415,
2002-09-17,7.3560,
2002-09-18,7.3645,
2002-09-19,7.3245,
2002-09-20,7.3620,
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,7.3550,
2002-09-24,7.3210,
2002-09-25,7.3145,
2002-09-26,7.3220,
2002-09-27,7.3325,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,7.3415,
2002-10-01,7.3150,
2002-10-02,7.3020,
2002-10-03,7.3125,
2002-10-04,7.3040,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,7.2885,
2002-10-08,7.2760,
2002-10-09,7.2620,
2002-10-10,7.3050,
2002-10-11,7.2830,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,7.2815,
2002-10-15,7.2975,
2002-10-16,7.3095,
2002-10-17,7.4120,
2002-10-18,7.4015,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,7.3980,
2002-10-22,7.4340,
2002-10-23,7.4015,
2002-10-24,7.3740,
2002-10-25,7.3580,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,7.3710,
2002-10-29,7.3910,
2002-10-30,7.3900,
2002-10-31,7.3650,
2002-11-01,7.3685,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,7.3705,
2002-11-05,7.3715,
2002-11-06,7.3595,
2002-11-07,7.3545,
2002-11-08,7.3320,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,7.2975,
2002-11-12,7.3025,
2002-11-13,7.3210,
2002-11-14,7.3145,
2002-11-15,7.3025,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,7.3135,
2002-11-19,7.3270,
2002-11-20,7.3310,
2002-11-21,7.3155,
2002-11-22,7.3045,
2002-11-23,.,No value available
2002-11-24,.,No value available
2002-11-25,7.3040,
2002-11-26,7.2640,
2002-11-27,7.2750,
2002-11-28,7.2880,
2002-11-29,7.2820,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,7.2625,
2002-12-03,7.2750,
2002-12-04,7.2655,
2002-12-05,7.2745,
2002-12-06,7.2640,
2002-12-07,.,No value available
2002-12-08,.,No value available
2002-12-09,7.3080,
2002-12-10,7.3280,
2002-12-11,7.3440,
2002-12-12,7.3350,
2002-12-13,7.3295,
2002-12-14,.,No value available
2002-12-15,.,No value available
2002-12-16,7.3100,
2002-12-17,7.2945,
2002-12-18,7.3130,
2002-12-19,7.2850,
2002-12-20,7.2870,
2002-12-21,.,No value available
2002-12-22,.,No value available
2002-12-23,7.2895,
2002-12-24,7.2763,
2002-12-25,.,No value available
2002-12-26,.,No value available
2002-12-27,7.3060,
2002-12-28,.,No value available
2002-12-29,.,No value available
2002-12-30,7.2725,
2002-12-31,7.2756,
2003-01-01,.,No value available
2003-01-02,7.2670,
2003-01-03,7.2360,
2003-01-04,.,No value available
2003-01-05,.,No value available
2003-01-06,7.2420,
2003-01-07,7.2370,
2003-01-08,7.2225,
2003-01-09,7.2255,
2003-01-10,7.2520,
2003-01-11,.,No value available
2003-01-12,.,No value available
2003-01-13,7.2895,
2003-01-14,7.3285,
2003-01-15,7.3020,
2003-01-16,7.2660,
2003-01-17,7.2740,
2003-01-18,.,No value available
2003-01-19,.,No value available
2003-01-20,7.3180,
2003-01-21,7.3430,
2003-01-22,7.3890,
2003-01-23,7.4060,
2003-01-24,7.4570,
2003-01-25,.,No value available
2003-01-26,.,No value available
2003-01-27,7.4555,
2003-01-28,7.4700,
2003-01-29,7.4580,
2003-01-30,7.4315,
2003-01-31,7.4520,
2003-02-01,.,No value available
2003-02-02,.,No value available
2003-02-03,7.4790,
2003-02-04,7.4870,
2003-02-05,7.5635,
2003-02-06,7.5145,
2003-02-07,7.4690,
2003-02-08,.,No value available
2003-02-09,.,No value available
2003-02-10,7.4625,
2003-02-11,7.4660,
2003-02-12,7.4615,
2003-02-13,7.4935,
2003-02-14,7.5355,
2003-02-15,.,No value available
2003-02-16,.,No value available
2003-02-17,7.5150,
2003-02-18,7.5215,
2003-02-19,7.5255,
2003-02-20,7.5360,
2003-02-21,7.5470,
2003-02-22,.,No value available
2003-02-23,.,No value available
2003-02-24,7.5530,
2003-02-25,7.6295,
2003-02-26,7.6115,
2003-02-27,7.7825,
2003-02-28,7.7250,
2003-03-01,.,No value available
2003-03-02,.,No value available
2003-03-03,7.7335,
2003-03-04,7.7770,
2003-03-05,7.7775,
2003-03-06,7.8310,
2003-03-07,7.8830,
2003-03-08,.,No value available
2003-03-09,.,No value available
2003-03-10,7.9340,
2003-03-11,7.9340,
2003-03-12,7.8665,
2003-03-13,7.8195,
2003-03-14,7.7760,
2003-03-15,.,No value available
2003-03-16,.,No value available
2003-03-17,7.8040,
2003-03-18,7.8560,
2003-03-19,7.8785,
2003-03-20,7.9200,
2003-03-21,7.8615,
2003-03-22,.,No value available
2003-03-23,.,No value available
2003-03-24,7.8520,
2003-03-25,7.8290,
2003-03-26,7.8135,
2003-03-27,7.8415,
2003-03-28,7.8570,
2003-03-29,.,No value available
2003-03-30,.,No value available
2003-03-31,7.8995,
2003-04-01,7.9250,
2003-04-02,7.8330,
2003-04-03,7.8250,
2003-04-04,7.7980,
2003-04-05,.,No value available
2003-04-06,.,No value available
2003-04-07,7.7720,
2003-04-08,7.7735,
2003-04-09,7.8020,
2003-04-10,7.8860,
2003-04-11,7.9000,
2003-04-12,.,No value available
2003-04-13,.,No value available
2003-04-14,7.8760,
2003-04-15,7.8790,
2003-04-16,7.8390,
2003-04-17,7.8360,
2003-04-18,.,No value available
2003-04-19,.,No value available
2003-04-20,.,No value available
2003-04-21,.,No value available
2003-04-22,7.8475,
2003-04-23,7.8350,
2003-04-24,7.8310,
2003-04-25,7.8120,
2003-04-26,.,No value available
2003-04-27,.,No value available
2003-04-28,7.7560,
2003-04-29,7.7705,
2003-04-30,7.8380,
2003-05-01,.,No value available
2003-05-02,7.8535,
2003-05-03,.,No value available
2003-05-04,.,No value available
2003-05-05,7.8660,
2003-05-06,7.8830,
2003-05-07,7.8675,
2003-05-08,7.8600,
2003-05-09,7.8655,
2003-05-10,.,No value available
2003-05-11,.,No value available
2003-05-12,7.8755,
2003-05-13,7.8740,
2003-05-14,7.8730,
2003-05-15,7.8490,
2003-05-16,7.8540,
2003-05-17,.,No value available
2003-05-18,.,No value available
2003-05-19,7.9200,
2003-05-20,7.9305,
2003-05-21,7.8415,
2003-05-22,7.8475,
2003-05-23,7.8790,
2003-05-24,.,No value available
2003-05-25,.,No value available
2003-05-26,7.8680,
2003-05-27,7.8600,
2003-05-28,7.8755,
2003-05-29,7.8793,
2003-05-30,7.8785,
2003-05-31,.,No value available
2003-06-01,.,No value available
2003-06-02,7.8695,
2003-06-03,7.9650,
2003-06-04,8.0780,
2003-06-05,8.1370,
2003-06-06,8.1485,
2003-06-07,.,No value available
2003-06-08,.,No value available
2003-06-09,8.1565,
2003-06-10,8.2175,
2003-06-11,8.1750,
2003-06-12,8.1950,
2003-06-13,8.1515,
2003-06-14,.,No value available
2003-06-15,.,No value available
2003-06-16,8.2100,
2003-06-17,8.2120,
2003-06-18,8.1780,
2003-06-19,8.1295,
2003-06-20,8.1580,
2003-06-21,.,No value available
2003-06-22,.,No value available
2003-06-23,8.1775,
2003-06-24,8.1690,
2003-06-25,8.2400,
2003-06-26,8.2655,
2003-06-27,8.2730,
2003-06-28,.,No value available
2003-06-29,.,No value available
2003-06-30,8.2935,
2003-07-01,8.3075,
2003-07-02,8.2420,
2003-07-03,8.2710,
2003-07-04,8.2670,
2003-07-05,.,No value available
2003-07-06,.,No value available
2003-07-07,8.2870,
2003-07-08,8.2860,
2003-07-09,8.2630,
2003-07-10,8.3200,
2003-07-11,8.3190,
2003-07-12,.,No value available
2003-07-13,.,No value available
2003-07-14,8.3220,
2003-07-15,8.3575,
2003-07-16,8.3590,
2003-07-17,8.3490,
2003-07-18,8.3595,
2003-07-19,.,No value available
2003-07-20,.,No value available
2003-07-21,8.3580,
2003-07-22,8.3430,
2003-07-23,8.3210,
2003-07-24,8.2700,
2003-07-25,8.2285,
2003-07-26,.,No value available
2003-07-27,.,No value available
2003-07-28,8.2080,
2003-07-29,8.2480,
2003-07-30,8.2065,
2003-07-31,8.1610,
2003-08-01,8.1570,
2003-08-02,.,No value available
2003-08-03,.,No value available
2003-08-04,8.1710,
2003-08-05,8.2270,
2003-08-06,8.1820,
2003-08-07,8.1650,
2003-08-08,8.1625,
2003-08-09,.,No value available
2003-08-10,.,No value available
2003-08-11,8.2020,
2003-08-12,8.2425,
2003-08-13,8.2810,
2003-08-14,8.3150,
2003-08-15,8.2825,
2003-08-16,.,No value available
2003-08-17,.,No value available
2003-08-18,8.3045,
2003-08-19,8.3320,
2003-08-20,8.3060,
2003-08-21,8.2765,
2003-08-22,8.2860,
2003-08-23,.,No value available
2003-08-24,.,No value available
2003-08-25,8.2970,
2003-08-26,8.3230,
2003-08-27,8.3330,
2003-08-28,8.2785,
2003-08-29,8.2470,
2003-08-30,.,No value available
2003-08-31,.,No value available
2003-09-01,8.2250,
2003-09-02,8.2250,
2003-09-03,8.2350,
2003-09-04,8.1925,
2003-09-05,8.2365,
2003-09-06,.,No value available
2003-09-07,.,No value available
2003-09-08,8.2475,
2003-09-09,8.2560,
2003-09-10,8.2830,
2003-09-11,8.2600,
2003-09-12,8.2585,
2003-09-13,.,No value available
2003-09-14,.,No value available
2003-09-15,8.2770,
2003-09-16,8.2700,
2003-09-17,8.2090,
2003-09-18,8.1760,
2003-09-19,8.1570,
2003-09-20,.,No value available
2003-09-21,.,No value available
2003-09-22,8.1700,
2003-09-23,8.1385,
2003-09-24,8.0780,
2003-09-25,8.0445,
2003-09-26,8.0830,
2003-09-27,.,No value available
2003-09-28,.,No value available
2003-09-29,8.0875,
2003-09-30,8.1840,
2003-10-01,8.2325,
2003-10-02,8.1810,
2003-10-03,8.1580,
2003-10-04,.,No value available
2003-10-05,.,No value available
2003-10-06,8.1640,
2003-10-07,8.2030,
2003-10-08,8.2130,
2003-10-09,8.2190,
2003-10-10,8.2270,
2003-10-11,.,No value available
2003-10-12,.,No value available
2003-10-13,8.2250,
2003-10-14,8.2375,
2003-10-15,8.2655,
2003-10-16,8.2500,
2003-10-17,8.2445,
2003-10-18,.,No value available
2003-10-19,.,No value available
2003-10-20,8.2730,
2003-10-21,8.2740,
2003-10-22,8.2530,
2003-10-23,8.2350,
2003-10-24,8.2400,
2003-10-25,.,No value available
2003-10-26,.,No value available
2003-10-27,8.2500,
2003-10-28,8.2360,
2003-10-29,8.2120,
2003-10-30,8.2260,
2003-10-31,8.2110,
2003-11-01,.,No value available
2003-11-02,.,No value available
2003-11-03,8.2270,
2003-11-04,8.2330,
2003-11-05,8.2480,
2003-11-06,8.2425,
2003-11-07,8.2340,
2003-11-08,.,No value available
2003-11-09,.,No value available
2003-11-10,8.2320,
2003-11-11,8.2100,
2003-11-12,8.2010,
2003-11-13,8.1820,
2003-11-14,8.2150,
2003-11-15,.,No value available
2003-11-16,.,No value available
2003-11-17,8.2050,
2003-11-18,8.1890,
2003-11-19,8.1860,
2003-11-20,8.1730,
2003-11-21,8.1625,
2003-11-22,.,No value available
2003-11-23,.,No value available
2003-11-24,8.1645,
2003-11-25,8.1570,
2003-11-26,8.1500,
2003-11-27,8.1645,
2003-11-28,8.1625,
2003-11-29,.,No value available
2003-11-30,.,No value available
2003-12-01,8.1750,
2003-12-02,8.1635,
2003-12-03,8.1425,
2003-12-04,8.0905,
2003-12-05,8.0800,
2003-12-06,.,No value available
2003-12-07,.,No value available
2003-12-08,8.0795,
2003-12-09,8.1100,
2003-12-10,8.1300,
2003-12-11,8.1735,
2003-12-12,8.1850,
2003-12-13,.,No value available
2003-12-14,.,No value available
2003-12-15,8.2030,
2003-12-16,8.2220,
2003-12-17,8.2750,
2003-12-18,8.3350,
2003-12-19,8.3320,
2003-12-20,.,No value available
2003-12-21,.,No value available
2003-12-22,8.3270,
2003-12-23,8.3715,
2003-12-24,8.4198,
2003-12-25,.,No value available
2003-12-26,.,No value available
2003-12-27,.,No value available
2003-12-28,.,No value available
2003-12-29,8.4340,
2003-12-30,8.4210,
2003-12-31,8.4141,
2004-01-01,.,No value available
2004-01-02,8.3935,
2004-01-03,.,No value available
2004-01-04,.,No value available
2004-01-05,8.4060,
2004-01-06,8.5660,
2004-01-07,8.5695,
2004-01-08,8.6080,
2004-01-09,8.6475,
2004-01-10,.,No value available
2004-01-11,.,No value available
2004-01-12,8.6065,
2004-01-13,8.5690,
2004-01-14,8.5670,
2004-01-15,8.5415,
2004-01-16,8.6010,
2004-01-17,.,No value available
2004-01-18,.,No value available
2004-01-19,8.6065,
2004-01-20,8.6045,
2004-01-21,8.6400,
2004-01-22,8.5430,
2004-01-23,8.5930,
2004-01-24,.,No value available
2004-01-25,.,No value available
2004-01-26,8.6140,
2004-01-27,8.6010,
2004-01-28,8.6820,
2004-01-29,8.7640,
2004-01-30,8.7190,
2004-01-31,.,No value available
2004-02-01,.,No value available
2004-02-02,8.6975,
2004-02-03,8.6830,
2004-02-04,8.7210,
2004-02-05,8.7370,
2004-02-06,8.7355,
2004-02-07,.,No value available
2004-02-08,.,No value available
2004-02-09,8.6975,
2004-02-10,8.8190,
2004-02-11,8.8155,
2004-02-12,8.8600,
2004-02-13,8.8200,
2004-02-14,.,No value available
2004-02-15,.,No value available
2004-02-16,8.8120,
2004-02-17,8.7840,
2004-02-18,8.7985,
2004-02-19,8.7960,
2004-02-20,8.8230,
2004-02-21,.,No value available
2004-02-22,.,No value available
2004-02-23,8.7830,
2004-02-24,8.7775,
2004-02-25,8.8260,
2004-02-26,8.7800,
2004-02-27,8.7370,
2004-02-28,.,No value available
2004-02-29,.,No value available
2004-03-01,8.7170,
2004-03-02,8.6850,
2004-03-03,8.6985,
2004-03-04,8.6365,
2004-03-05,8.6650,
2004-03-06,.,No value available
2004-03-07,.,No value available
2004-03-08,8.6510,
2004-03-09,8.6440,
2004-03-10,8.6560,
2004-03-11,8.5840,
2004-03-12,8.5600,
2004-03-13,.,No value available
2004-03-14,.,No value available
2004-03-15,8.4895,
2004-03-16,8.4790,
2004-03-17,8.4620,
2004-03-18,8.5020,
2004-03-19,8.5150,
2004-03-20,.,No value available
2004-03-21,.,No value available
2004-03-22,8.4290,
2004-03-23,8.4320,
2004-03-24,8.4290,
2004-03-25,8.4580,
2004-03-26,8.4460,
2004-03-27,.,No value available
2004-03-28,.,No value available
2004-03-29,8.4525,
2004-03-30,8.4085,
2004-03-31,8.4360,
2004-04-01,8.4740,
2004-04-02,8.4080,
2004-04-03,.,No value available
2004-04-04,.,No value available
2004-04-05,8.3735,
2004-04-06,8.3750,
2004-04-07,8.3835,
2004-04-08,8.3616,
2004-04-09,.,No value available
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,.,No value available
2004-04-13,8.3080,
2004-04-14,8.3060,
2004-04-15,8.2720,
2004-04-16,8.2820,
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,8.2955,
2004-04-20,8.2780,
2004-04-21,8.2800,
2004-04-22,8.2530,
2004-04-23,8.2380,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,8.2415,
2004-04-27,8.2270,
2004-04-28,8.2030,
2004-04-29,8.1710,
2004-04-30,8.2210,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,8.2105,
2004-05-04,8.2320,
2004-05-05,8.1730,
2004-05-06,8.1610,
2004-05-07,8.0930,
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,8.0990,
2004-05-11,8.1970,
2004-05-12,8.2015,
2004-05-13,8.1630,
2004-05-14,8.1850,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,8.2775,
2004-05-18,8.2740,
2004-05-19,8.3010,
2004-05-20,8.2685,
2004-05-21,8.2510,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,8.2350,
2004-05-25,8.2220,
2004-05-26,8.2170,
2004-05-27,8.1840,
2004-05-28,8.2120,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,8.1993,
2004-06-01,8.1800,
2004-06-02,8.1930,
2004-06-03,8.1910,
2004-06-04,8.1820,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,8.1860,
2004-06-08,8.1885,
2004-06-09,8.1830,
2004-06-10,8.2800,
2004-06-11,8.2925,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,8.3325,
2004-06-15,8.3040,
2004-06-16,8.2970,
2004-06-17,8.3480,
2004-06-18,8.3810,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,8.3515,
2004-06-22,8.3240,
2004-06-23,8.3540,
2004-06-24,8.3580,
2004-06-25,8.2785,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,8.3145,
2004-06-29,8.3285,
2004-06-30,8.4365,
2004-07-01,8.4410,
2004-07-02,8.4925,
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,8.4890,
2004-07-06,8.4665,
2004-07-07,8.4405,
2004-07-08,8.4620,
2004-07-09,8.4545,
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,8.4580,
2004-07-13,8.4735,
2004-07-14,8.5180,
2004-07-15,8.5150,
2004-07-16,8.4780,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,8.4770,
2004-07-20,8.4870,
2004-07-21,8.5050,
2004-07-22,8.4800,
2004-07-23,8.4770,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,8.5070,
2004-07-27,8.4940,
2004-07-28,8.4605,
2004-07-29,8.4560,
2004-07-30,8.4200,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,8.4420,
2004-08-03,8.4260,
2004-08-04,8.4145,
2004-08-05,8.3675,
2004-08-06,8.3400,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,8.3205,
2004-08-10,8.3215,
2004-08-11,8.3290,
2004-08-12,8.3190,
2004-08-13,8.2890,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,8.2800,
2004-08-17,8.2810,
2004-08-18,8.3190,
2004-08-19,8.2945,
2004-08-20,8.2460,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,8.2620,
2004-08-24,8.2830,
2004-08-25,8.3130,
2004-08-26,8.3360,
2004-08-27,8.3530,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,8.3550,
2004-08-31,8.4010,
2004-09-01,8.3695,
2004-09-02,8.3475,
2004-09-03,8.3115,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,8.3225,
2004-09-07,8.3365,
2004-09-08,8.3335,
2004-09-09,8.3055,
2004-09-10,8.3225,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,8.3495,
2004-09-14,8.3630,
2004-09-15,8.3980,
2004-09-16,8.4375,
2004-09-17,8.4350,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,8.4200,
2004-09-21,8.3950,
2004-09-22,8.3935,
2004-09-23,8.3410,
2004-09-24,8.3390,
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,8.3655,
2004-09-28,8.3505,
2004-09-29,8.3510,
2004-09-30,8.3410,
2004-10-01,8.3280,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,8.2950,
2004-10-05,8.2780,
2004-10-06,8.2700,
2004-10-07,8.2855,
2004-10-08,8.3000,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,8.2260,
2004-10-12,8.1925,
2004-10-13,8.2260,
2004-10-14,8.1955,
2004-10-15,8.2160,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,8.2390,
2004-10-19,8.2400,
2004-10-20,8.2300,
2004-10-21,8.2345,
2004-10-22,8.2115,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,8.2265,
2004-10-26,8.2370,
2004-10-27,8.1620,
2004-10-28,8.1935,
2004-10-29,8.1465,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,8.1270,
2004-11-02,8.1780,
