"",BBEE1.D.I7.AAA.XZE01B.A.AABAN.M00,BBEE1.D.I7.AAA.XZE01B.A.AABAN.M00_FLAGS
2004-04-09,.,No value available
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,.,No value available
2004-04-13,102.0385,
2004-04-14,102.1700,
2004-04-15,102.4327,
2004-04-16,102.5327,
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,102.7558,
2004-04-20,102.2857,
2004-04-21,102.1800,
2004-04-22,102.3965,
2004-04-23,102.3449,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,102.0294,
2004-04-27,102.1702,
2004-04-28,102.3878,
2004-04-29,102.4885,
2004-04-30,102.8462,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,103.0001,
2004-05-04,103.2487,
2004-05-05,103.5623,
2004-05-06,103.5276,
2004-05-07,103.3521,
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,102.6523,
2004-05-11,102.6572,
2004-05-12,102.7048,
2004-05-13,102.6479,
2004-05-14,102.7612,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,103.5232,
2004-05-18,103.4734,
2004-05-19,103.1822,
2004-05-20,102.8760,
2004-05-21,103.0713,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,102.8824,
2004-05-25,103.2562,
2004-05-26,103.2787,
2004-05-27,103.4007,
2004-05-28,103.7651,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,103.2868,
2004-06-01,103.4980,
2004-06-02,103.7433,
2004-06-03,103.6612,
2004-06-04,103.5250,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,103.9917,
2004-06-08,103.7331,
2004-06-09,103.1478,
2004-06-10,102.5129,
2004-06-11,102.3669,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,102.5616,
2004-06-15,102.8646,
2004-06-16,102.6382,
2004-06-17,102.4646,
2004-06-18,102.4284,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,102.7732,
2004-06-22,102.8400,
2004-06-23,102.8489,
2004-06-24,102.8597,
2004-06-25,102.8689,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,103.2122,
2004-06-29,103.1708,
2004-06-30,103.1885,
2004-07-01,103.1147,
2004-07-02,103.1005,
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,103.6983,
2004-07-06,103.7663,
2004-07-07,103.8040,
2004-07-08,103.8030,
2004-07-09,103.9067,
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,103.8922,
2004-07-13,103.7310,
2004-07-14,103.9017,
2004-07-15,103.9037,
2004-07-16,103.7744,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,103.7733,
2004-07-20,103.9348,
2004-07-21,103.7198,
2004-07-22,103.5086,
2004-07-23,103.1802,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,102.9222,
2004-07-27,102.9852,
2004-07-28,102.5790,
2004-07-29,102.6391,
2004-07-30,102.6151,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,102.5080,
2004-08-03,102.5298,
2004-08-04,102.3763,
2004-08-05,102.4514,
2004-08-06,102.6165,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,103.3861,
2004-08-10,103.5535,
2004-08-11,103.4669,
2004-08-12,103.5681,
2004-08-13,103.5653,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,103.9456,
2004-08-17,103.9413,
2004-08-18,103.9544,
2004-08-19,104.1623,
2004-08-20,103.8385,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,103.6782,
2004-08-24,103.0638,
2004-08-25,102.9313,
2004-08-26,102.9520,
2004-08-27,102.8564,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,102.7465,
2004-08-31,103.1257,
2004-09-01,103.3122,
2004-09-02,103.3131,
2004-09-03,103.2971,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,102.8649,
2004-09-07,102.9211,
2004-09-08,102.6758,
2004-09-09,103.4587,
2004-09-10,103.6857,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,103.6276,
2004-09-14,103.6039,
2004-09-15,103.6420,
2004-09-16,103.1655,
2004-09-17,103.4566,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,103.0196,
2004-09-21,103.6777,
2004-09-22,103.6179,
2004-09-23,103.9646,
2004-09-24,103.9385,
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,103.6601,
2004-09-28,104.1026,
2004-09-29,104.0279,
2004-09-30,104.5344,
2004-10-01,104.5379,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,104.0441,
2004-10-05,104.0263,
2004-10-06,103.9555,
2004-10-07,104.0651,
2004-10-08,104.0217,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,104.1862,
2004-10-12,103.8614,
2004-10-13,103.6647,
2004-10-14,104.0997,
2004-10-15,104.3271,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,104.5907,
2004-10-19,104.7240,
2004-10-20,105.0815,
2004-10-21,104.9386,
2004-10-22,104.9688,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,105.6747,
2004-10-26,105.7392,
2004-10-27,105.6424,
2004-10-28,105.4153,
2004-10-29,105.3179,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,105.3662,
2004-11-02,105.0433,
2004-11-03,105.2489,
2004-11-04,105.7887,
2004-11-05,105.7654,
2004-11-06,.,No value available
2004-11-07,.,No value available
2004-11-08,105.8757,
2004-11-09,105.8541,
2004-11-10,106.1441,
2004-11-11,105.9012,
2004-11-12,105.8891,
2004-11-13,.,No value available
2004-11-14,.,No value available
2004-11-15,105.8224,
2004-11-16,105.8917,
2004-11-17,106.0250,
2004-11-18,105.9634,
2004-11-19,105.8700,
2004-11-20,.,No value available
2004-11-21,.,No value available
2004-11-22,105.8449,
2004-11-23,105.8757,
2004-11-24,106.1264,
2004-11-25,106.3542,
2004-11-26,106.4186,
2004-11-27,.,No value available
2004-11-28,.,No value available
2004-11-29,106.4753,
2004-11-30,106.5114,
2004-12-01,106.3909,
2004-12-02,106.3691,
2004-12-03,106.3547,
2004-12-04,.,No value available
2004-12-05,.,No value available
2004-12-06,106.8781,
2004-12-07,106.9917,
2004-12-08,106.7359,
2004-12-09,106.8371,
2004-12-10,106.6082,
2004-12-11,.,No value available
2004-12-12,.,No value available
2004-12-13,106.7566,
2004-12-14,106.8942,
2004-12-15,106.9800,
2004-12-16,106.8825,
2004-12-17,106.4136,
2004-12-18,.,No value available
2004-12-19,.,No value available
2004-12-20,106.8412,
2004-12-21,107.0346,
2004-12-22,107.1663,
2004-12-23,107.5206,
2004-12-24,107.8916,
2004-12-25,.,No value available
2004-12-26,.,No value available
2004-12-27,107.8841,
2004-12-28,108.1368,
2004-12-29,108.2176,
2004-12-30,108.2361,
2004-12-31,108.0826,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,107.6483,
2005-01-04,107.1903,
2005-01-05,106.7938,
2005-01-06,106.7013,
2005-01-07,106.6244,
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,106.0294,
2005-01-11,106.1142,
2005-01-12,106.0665,
2005-01-13,106.3926,
2005-01-14,105.7764,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,105.6998,
2005-01-18,105.5291,
2005-01-19,105.5087,
2005-01-20,105.0110,
2005-01-21,105.2707,
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,105.5139,
2005-01-25,105.3846,
2005-01-26,105.2140,
2005-01-27,105.2788,
2005-01-28,105.2955,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,105.3189,
2005-02-01,105.3175,
2005-02-02,105.4173,
2005-02-03,105.0650,
2005-02-04,104.8352,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,104.3337,
2005-02-08,104.1834,
2005-02-09,104.1726,
2005-02-10,104.3569,
2005-02-11,104.6485,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,104.8423,
2005-02-15,105.0607,
2005-02-16,105.3620,
2005-02-17,105.3681,
2005-02-18,105.1609,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,105.2259,
2005-02-22,105.5909,
2005-02-23,105.6830,
2005-02-24,105.9538,
2005-02-25,105.4860,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,105.6687,
2005-03-01,105.3781,
2005-03-02,105.0288,
2005-03-03,105.2374,
2005-03-04,105.2468,
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,105.4581,
2005-03-08,105.5935,
2005-03-09,106.0576,
2005-03-10,106.4925,
2005-03-11,106.5397,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,106.5332,
2005-03-15,106.5157,
2005-03-16,106.5719,
2005-03-17,106.7354,
2005-03-18,106.1939,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,106.1366,
2005-03-22,105.8921,
2005-03-23,105.5607,
2005-03-24,105.3888,
2005-03-25,.,No value available
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,.,No value available
2005-03-29,105.1926,
2005-03-30,105.1635,
2005-03-31,105.1236,
2005-04-01,105.1182,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,104.9421,
2005-04-05,104.6496,
2005-04-06,104.8314,
2005-04-07,105.0498,
2005-04-08,104.6600,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,105.1630,
2005-04-12,105.1733,
2005-04-13,104.8180,
2005-04-14,104.5605,
2005-04-15,104.8587,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,105.3208,
2005-04-19,105.4082,
2005-04-20,105.4270,
2005-04-21,105.5876,
2005-04-22,105.5163,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,104.9431,
2005-04-26,105.0405,
2005-04-27,104.8225,
2005-04-28,104.7894,
2005-04-29,104.9207,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,104.5379,
2005-05-03,104.5825,
2005-05-04,104.8019,
2005-05-05,104.7084,
2005-05-06,104.7124,
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,104.2479,
2005-05-10,104.5188,
2005-05-11,104.6309,
2005-05-12,104.1976,
2005-05-13,103.6725,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,104.0079,
2005-05-17,104.0593,
2005-05-18,103.9916,
2005-05-19,103.9625,
2005-05-20,103.9105,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,103.6662,
2005-05-24,103.9245,
2005-05-25,103.7788,
2005-05-26,103.6376,
2005-05-27,103.6651,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,103.2420,
2005-05-31,102.3913,
2005-06-01,101.9841,
2005-06-02,102.0345,
2005-06-03,102.0318,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,101.7949,
2005-06-07,101.6492,
2005-06-08,101.8770,
2005-06-09,101.5908,
2005-06-10,101.4809,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,100.9377,
2005-06-14,101.2072,
2005-06-15,100.8973,
2005-06-16,101.0361,
2005-06-17,101.3156,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,101.5196,
2005-06-21,100.9353,
2005-06-22,100.9521,
2005-06-23,100.6571,
2005-06-24,100.8790,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,101.3287,
2005-06-28,101.1415,
2005-06-29,101.1284,
2005-06-30,101.4833,
2005-07-01,101.6414,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,100.8158,
2005-07-05,100.9203,
2005-07-06,101.0622,
2005-07-07,101.5013,
2005-07-08,101.3370,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,101.7486,
2005-07-12,102.3626,
2005-07-13,102.5352,
2005-07-14,101.9410,
2005-07-15,102.0361,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,101.9795,
2005-07-19,101.6859,
2005-07-20,102.2962,
2005-07-21,102.3124,
2005-07-22,102.0643,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,101.7459,
2005-07-26,101.3823,
2005-07-27,101.4248,
2005-07-28,101.8287,
2005-07-29,101.6988,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,102.1831,
2005-08-02,101.9878,
2005-08-03,102.3781,
2005-08-04,102.4888,
2005-08-05,102.8325,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,102.6145,
2005-08-09,102.6367,
2005-08-10,102.4961,
2005-08-11,102.4843,
2005-08-12,102.6313,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,102.2291,
2005-08-16,101.8654,
2005-08-17,101.8122,
2005-08-18,101.4543,
2005-08-19,101.4406,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,101.5362,
2005-08-23,101.7213,
2005-08-24,101.6205,
2005-08-25,101.8675,
2005-08-26,102.0075,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,101.9872,
2005-08-30,101.6808,
2005-08-31,101.7297,
2005-09-01,102.3081,
2005-09-02,102.7349,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,102.4826,
2005-09-06,102.2759,
2005-09-07,102.2108,
2005-09-08,102.0528,
2005-09-09,101.9805,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,101.4971,
2005-09-13,101.5023,
2005-09-14,101.5188,
2005-09-15,101.2082,
2005-09-16,101.3185,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,100.8568,
2005-09-20,100.9310,
2005-09-21,101.2971,
2005-09-22,101.4620,
2005-09-23,101.0962,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,100.8222,
2005-09-27,100.8088,
2005-09-28,100.9931,
2005-09-29,101.1242,
2005-09-30,101.0713,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,100.6129,
2005-10-04,100.6183,
2005-10-05,100.5615,
2005-10-06,101.2625,
2005-10-07,101.6865,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,101.4644,
2005-10-11,101.1040,
2005-10-12,101.1004,
2005-10-13,101.1226,
2005-10-14,101.2768,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,101.3216,
2005-10-18,101.0603,
2005-10-19,100.9957,
2005-10-20,100.9168,
2005-10-21,101.1776,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,100.9180,
2005-10-25,101.1937,
2005-10-26,101.4947,
2005-10-27,101.7611,
2005-10-28,101.8434,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,101.2668,
2005-11-01,101.3535,
2005-11-02,101.2661,
2005-11-03,101.4256,
2005-11-04,101.0299,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,100.6435,
2005-11-08,100.1700,
2005-11-09,100.0933,
2005-11-10,100.2134,
2005-11-11,99.9294,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,99.9794,
2005-11-15,99.8718,
2005-11-16,100.0377,
2005-11-17,100.1220,
2005-11-18,100.1475,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,100.8694,
2005-11-22,100.3684,
2005-11-23,100.5191,
2005-11-24,100.4782,
2005-11-25,100.3941,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,100.2281,
2005-11-29,100.4928,
2005-11-30,100.3916,
2005-12-01,100.2627,
2005-12-02,99.9157,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,100.1548,
2005-12-06,100.2070,
2005-12-07,99.8780,
2005-12-08,100.1107,
2005-12-09,100.1285,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,100.7304,
2005-12-13,100.6516,
2005-12-14,100.9806,
2005-12-15,100.6843,
2005-12-16,100.7751,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,100.7808,
2005-12-20,100.6358,
2005-12-21,100.3831,
2005-12-22,100.2291,
2005-12-23,100.4222,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,.,No value available
2005-12-27,100.3794,
2005-12-28,100.7918,
2005-12-29,100.5036,
2005-12-30,100.2236,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,100.4390,
2006-01-03,100.5109,
2006-01-04,101.2455,
2006-01-05,101.1462,
2006-01-06,101.2030,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,100.6883,
2006-01-10,100.7287,
2006-01-11,100.9294,
2006-01-12,100.8433,
2006-01-13,100.6389,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,101.0520,
2006-01-17,100.9865,
2006-01-18,101.2856,
2006-01-19,101.0890,
2006-01-20,100.9160,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,101.6986,
2006-01-24,101.6686,
2006-01-25,101.6317,
2006-01-26,101.5542,
2006-01-27,101.2841,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,100.9175,
2006-01-31,101.0823,
2006-02-01,100.8122,
2006-02-02,100.8165,
2006-02-03,100.8190,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,100.5057,
2006-02-07,100.5253,
2006-02-08,100.4898,
2006-02-09,100.6006,
2006-02-10,100.3196,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,100.1311,
2006-02-14,100.1723,
2006-02-15,100.1187,
2006-02-16,100.0163,
2006-02-17,100.0594,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,100.2998,
2006-02-21,100.1976,
2006-02-22,100.1666,
2006-02-23,100.2880,
2006-02-24,99.9746,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,99.7477,
2006-02-28,99.8463,
2006-03-01,100.1097,
2006-03-02,100.0868,
2006-03-03,100.6471,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,100.7586,
2006-03-07,100.4937,
2006-03-08,100.5970,
2006-03-09,100.5813,
2006-03-10,100.7082,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,100.9522,
2006-03-14,100.9759,
2006-03-15,101.1387,
2006-03-16,101.3894,
2006-03-17,101.7096,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,101.7203,
2006-03-21,101.7389,
2006-03-22,101.4885,
2006-03-23,101.3429,
2006-03-24,101.1386,
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,101.1365,
2006-03-28,101.5294,
2006-03-29,101.4318,
2006-03-30,101.7295,
2006-03-31,101.8466,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,101.6561,
2006-04-04,102.2789,
2006-04-05,102.5120,
2006-04-06,102.6759,
2006-04-07,101.9762,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,101.6331,
2006-04-11,101.5947,
2006-04-12,101.5736,
2006-04-13,101.5354,
2006-04-14,.,No value available
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,.,No value available
2006-04-18,102.0341,
2006-04-19,102.2589,
2006-04-20,102.3345,
2006-04-21,102.1911,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,102.0851,
2006-04-25,102.4112,
2006-04-26,102.5679,
2006-04-27,102.5056,
2006-04-28,102.8145,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,102.9432,
2006-05-03,102.6607,
2006-05-04,102.5504,
2006-05-05,102.9761,
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,102.9013,
2006-05-09,102.7365,
2006-05-10,103.0100,
2006-05-11,102.7303,
2006-05-12,103.4716,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,103.4359,
2006-05-16,103.3345,
2006-05-17,103.3246,
2006-05-18,103.2265,
2006-05-19,103.2861,
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,103.3780,
2006-05-23,103.5361,
2006-05-24,103.7404,
2006-05-25,103.3448,
2006-05-26,103.4755,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,103.3386,
2006-05-30,103.6298,
2006-05-31,103.7842,
2006-06-01,103.3567,
2006-06-02,103.6370,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,104.1698,
2006-06-06,103.8374,
2006-06-07,103.6561,
2006-06-08,103.6552,
2006-06-09,103.1689,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,102.7889,
2006-06-13,102.9676,
2006-06-14,102.9331,
2006-06-15,103.1276,
2006-06-16,103.3600,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,103.2525,
2006-06-20,103.0260,
2006-06-21,103.5457,
2006-06-22,103.4644,
2006-06-23,103.2636,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,103.5487,
2006-06-27,103.5557,
2006-06-28,103.5387,
2006-06-29,103.4667,
2006-06-30,104.0078,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,104.3011,
2006-07-04,104.1906,
2006-07-05,104.2659,
2006-07-06,104.1733,
2006-07-07,104.2537,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,104.0188,
2006-07-11,103.9341,
2006-07-12,103.9682,
2006-07-13,103.8276,
2006-07-14,103.7548,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,103.3457,
2006-07-18,103.2115,
2006-07-19,103.0631,
2006-07-20,103.4168,
2006-07-21,103.5350,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,103.3777,
2006-07-25,103.3400,
2006-07-26,103.1866,
2006-07-27,103.6697,
2006-07-28,103.3346,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,103.6772,
2006-08-01,103.6907,
2006-08-02,103.8271,
2006-08-03,103.6605,
2006-08-04,103.7007,
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,103.6682,
2006-08-08,103.6346,
2006-08-09,103.7816,
2006-08-10,103.6729,
2006-08-11,103.4236,
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,103.3865,
2006-08-15,103.4778,
2006-08-16,103.7449,
2006-08-17,103.9903,
2006-08-18,103.8556,
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,104.3257,
2006-08-22,103.8553,
2006-08-23,103.7975,
2006-08-24,103.9980,
2006-08-25,103.7450,
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,103.8740,
2006-08-29,103.8318,
2006-08-30,103.9095,
2006-08-31,103.9909,
2006-09-01,103.9429,
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,104.0124,
2006-09-05,103.8234,
2006-09-06,103.9144,
2006-09-07,103.6899,
2006-09-08,103.6280,
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,103.7781,
2006-09-12,103.6850,
2006-09-13,103.5609,
2006-09-14,103.6280,
2006-09-15,103.4131,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,103.3502,
2006-09-19,103.2699,
2006-09-20,103.3171,
2006-09-21,103.4125,
2006-09-22,103.8896,
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,103.6209,
2006-09-26,103.1744,
2006-09-27,103.2431,
2006-09-28,103.5384,
2006-09-29,103.3863,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,103.5672,
2006-10-03,103.5968,
2006-10-04,103.4796,
2006-10-05,103.5679,
2006-10-06,103.2571,
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,103.1781,
2006-10-10,102.8989,
2006-10-11,102.9176,
2006-10-12,102.8599,
2006-10-13,102.7954,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,102.5964,
2006-10-17,102.5890,
2006-10-18,102.6559,
2006-10-19,102.7312,
2006-10-20,102.7414,
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,102.6414,
2006-10-24,102.6047,
2006-10-25,102.7149,
2006-10-26,102.9461,
2006-10-27,103.0034,
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,102.9403,
2006-10-31,102.8463,
2006-11-01,102.9507,
2006-11-02,103.0273,
2006-11-03,102.9887,
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,102.8379,
2006-11-07,102.9886,
2006-11-08,103.0791,
2006-11-09,103.2131,
2006-11-10,103.4357,
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,103.3686,
2006-11-14,103.3432,
2006-11-15,103.3498,
2006-11-16,103.3207,
2006-11-17,103.2383,
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,103.4610,
2006-11-21,103.2458,
2006-11-22,103.4345,
2006-11-23,103.6702,
2006-11-24,104.1416,
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,104.3052,
2006-11-28,104.4536,
2006-11-29,104.3807,
2006-11-30,104.4831,
2006-12-01,104.5831,
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,104.8558,
2006-12-05,104.8303,
2006-12-06,104.6435,
2006-12-07,104.7004,
2006-12-08,104.7999,
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,104.4948,
2006-12-12,104.6757,
2006-12-13,104.6775,
2006-12-14,104.3872,
2006-12-15,104.0589,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,104.0165,
2006-12-19,104.3414,
2006-12-20,104.3337,
2006-12-21,104.2769,
2006-12-22,104.3941,
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,.,No value available
2006-12-27,104.3712,
2006-12-28,104.4168,
2006-12-29,104.4037,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,104.8240,
2007-01-03,104.7025,
2007-01-04,104.3492,
2007-01-05,104.2695,
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,103.9777,
2007-01-09,103.9749,
2007-01-10,104.0460,
2007-01-11,103.9183,
2007-01-12,103.4088,
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,103.4586,
2007-01-16,103.5304,
2007-01-17,103.3431,
2007-01-18,103.4083,
2007-01-19,103.4861,
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,103.4023,
2007-01-23,103.8600,
2007-01-24,103.8824,
2007-01-25,103.7273,
2007-01-26,103.5689,
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,103.7683,
2007-01-30,104.0094,
2007-01-31,103.9130,
2007-02-01,103.8929,
2007-02-02,103.9790,
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,103.5156,
2007-02-06,103.4158,
2007-02-07,103.5964,
2007-02-08,103.8433,
2007-02-09,104.0411,
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,103.9377,
2007-02-13,104.3011,
2007-02-14,104.4841,
2007-02-15,104.6508,
2007-02-16,104.5382,
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,104.6123,
2007-02-20,104.6951,
2007-02-21,104.7421,
2007-02-22,104.5907,
2007-02-23,104.6550,
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,104.7780,
2007-02-27,105.0657,
2007-02-28,104.9552,
2007-03-01,104.9612,
2007-03-02,104.7028,
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,104.4749,
2007-03-06,104.4600,
2007-03-07,104.6231,
2007-03-08,104.6981,
2007-03-09,104.7268,
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,104.7619,
2007-03-13,104.9619,
2007-03-14,104.9075,
2007-03-15,105.0031,
